fund,fund_ticker,yahoo_ticker,name
WFH,ADBE,ADBE,Adobe Systems
WFH,AMX,AMX,AMERICA MOVIL - SERIES L
WFH,AMZN,AMZN,Amazon Corp.
WFH,API,API,AGORA INC-ADR
WFH,AVGO,AVGO,BROADCOM INC NPV
WFH,AVYA,AVYA,Avaya Holdings Corp
WFH,BABA,BABA,ALIBABA GROUP HLDG USD 0.000025 ADR
WFH,BOX,BOX,BOX INC USD 0.0001
WFH,CRM,CRM,SALESFORCE COM INC USD 0.001
WFH,CRWD,CRWD,Crowdstrike Holdings Inc
WFH,CSCO,CSCO,CISCO SYS INC USD 0.001
WFH,CXM,CXM,Sprinklr Inc
WFH,CYBR,CYBR,CYBERARK SOFTWARE LTD ILS 0.01
WFH,DOCU,DOCU,DocuSign Inc
WFH,EGHT,EGHT,8X8 INC
WFH,FTNT,FTNT,FORTINET I USD 0.001
WFH,GOOGL,GOOGL,Alphabet Inc
WFH,IBM,IBM,International Bus. Machines
WFH,META,META,Meta Platforms Inc
WFH,MRVL,MRVL,MARVELL TECHNOLOGY INC
WFH,MSFT,MSFT,Microsoft Corp.
WFH,NOW,NOW,SERVICENOW INC USD 0.001
WFH,NTAP,NTAP,NETAPP INC
WFH,NTNX,NTNX,Nutanix Inc
WFH,OKTA,OKTA,Okta Inc
WFH,ORCL,ORCL,Oracle Corp.
WFH,PANW,PANW,PALO ALTO NETWORKS INC USD 0.0001
WFH,PRGS,PRGS,Progress Software
WFH,RNG,RNG,RINGCENTRAL INC USD 0.0001
WFH,RXT,RXT,RACKSPACE TECHNOLOGY INC
WFH,S,S,SentinelOne Inc
WFH,SMAR,SMAR,Smartsheet Inc
WFH,TEAM,TEAM,TEAM
WFH,TWLO,TWLO,Twilio Inc
WFH,VMW,VMW,VMWARE INC
WFH,WDAY,WDAY,WORKDAY INC-CLASS A
WFH,XELA,XELA,EXELA TECHNOLOGIES INC
WFH,ZM,ZM,Zoom Video Communications Inc
WFH,ZS,ZS,Zscaler Inc
TYNE,AADI,AADI,AADI BIOSCIENCE INC
TYNE,ALKS,ALKS,ALKERMES PLC
TYNE,ALNY,ALNY,Alnylam Pharmaceuticals Inc
TYNE,AME,AME,Ametek
TYNE,ANGO,ANGO,Angiodynamics Inc
TYNE,ARCT,ARCT,Arcturus Therapeutics Holdings Inc
TYNE,BEAM,BEAM,Beam Therapeutics Inc
TYNE,BNGO,BNGO,BioNano Genomics Inc
TYNE,BNTX,BNTX,BIONTECH SE
TYNE,BRKR,BRKR,Bruker Biosciences Corp
TYNE,CBT,CBT,Cabot Corp.
TYNE,DHR,DHR,Danaher Corp.
TYNE,GBIO,GBIO,GENERATION BIO CO
TYNE,IEX,IEX,IDEX Corp.
TYNE,JAZZ,JAZZ,JAZZ PHARMACEUTICALS PLC USD 0.0001
TYNE,KLAC,KLAC,KLA-Tencor Corp.
TYNE,LITE,LITE,LUMENTUM HLDGS INC USD 0.001
TYNE,LQDA,LQDA,Liquidia Technologies Inc
TYNE,LRCX,LRCX,LAM RESEARCH
TYNE,MMAT,MMAT,META MATERIALS INC
TYNE,MRNA,MRNA,Moderna Inc
TYNE,NNDM,NNDM,NANO DIMENSION LTD USD 1.0 ADR
TYNE,NTLA,NTLA,Intellia Therapeutics Inc
TYNE,NVEC,NVEC,Nve Corp Com New
TYNE,PDSB,PDSB,PDS BIOTECHNOLOGY CORP
TYNE,ROIV,ROIV,ROIVANT SCIENCES LTD
TYNE,SEER,SEER,SEER INC
TYNE,TMO,TMO,Thermo Fisher Scientific Inc
TYNE,VUZI,VUZI,Vuzix Corp
MSGR,ABUS,ABUS,ARBUTUS BIOPHARMA CORP NPV
MSGR,ALNY,ALNY,Alnylam Pharmaceuticals Inc
MSGR,ARCT,ARCT,Arcturus Therapeutics Holdings Inc
MSGR,ARWR,ARWR,ARROWHEAD PHARMACEUTICALS IN
MSGR,BGNE,BGNE,BeiGene Ltd
MSGR,BNTX,BNTX,BIONTECH SE
MSGR,CVAC,CVAC,CureVac NV
MSGR,DYN,DYN,DYNE THERAPEUTICS INC
MSGR,GRTS,GRTS,Gritstone Oncology Inc
MSGR,IONS,IONS,IONIS PHARMACEUTICALS INC
MSGR,MRNA,MRNA,Moderna Inc
MSGR,MRVI,MRVI,Maravai LifeSciences Holdings Inc
MSGR,NTLA,NTLA,Intellia Therapeutics Inc
MSGR,PEPG,PEPG,PEPGEN INC
MSGR,RNA,RNA,AVIDITY BIOSCIENCES INC
MSGR,SGMO,SGMO,Sangamo Therapeutics Inc
MSGR,SRNE,SRNE,Sorrento Therapeutics Inc
MSGR,SRPT,SRPT,SAREPTA THERAPEUTICS INC
MSGR,STOK,STOK,Stoke Therapeutics Inc
MSGR,VRTX,VRTX,Vertex Pharmaceuticals
MOON,ADEA,ADEA,ADEAV
MOON,AEVA,AEVA,AEVA TECHNOLOGIES INC
MOON,AI,AI,C3.AI INC-A
MOON,AMBA,AMBA,Ambarella Inc
MOON,ARCT,ARCT,Arcturus Therapeutics Holdings Inc
MOON,ASAN,ASAN,Asana Inc
MOON,ATRA,ATRA,ATARA BIOTHERAPEUTICS IN USD 0.0001
MOON,AUR,AUR,Aurora Innovation Inc
MOON,BBIO,BBIO,Bridgebio Pharma Inc
MOON,BFLY,BFLY,BUTTERFLY NETWORK INC
MOON,BHIL,BHIL,Benson Hill Inc
MOON,CVAC,CVAC,CureVac NV
MOON,DM,DM,DESKTOP METAL INC-A
MOON,DNA,DNA,GINKGO BIOWORKS HOLDINGS INC
MOON,FSLY,FSLY,Fastly Inc
MOON,FSR,FSR,FISKER INC
MOON,HYLN,HYLN,HYLIION HOLDINGS CORP
MOON,HYZN,HYZN,HYZON MOTORS INC (CUSIP: 44951Y102)
MOON,INDI,INDI,INDIE SEMICONDUCTOR INC
MOON,INO,INO,Inovio Pharmaceuticals Inc
MOON,INVZ,INVZ,INNOVIZ TECHNOLOGIES LTD
MOON,JMIA,JMIA,Jumia Technologies AG
MOON,LIDR,LIDR,AEye Inc
MOON,LOCL,LOCL,Local Bounti Corp
MOON,LTCH,LTCH,LATCH INC
MOON,MMAT,MMAT,META MATERIALS INC
MOON,MVIS,MVIS,MICROVISION INC DEL USD 1.0
MOON,NNDM,NNDM,NANO DIMENSION LTD USD 1.0 ADR
MOON,NTLA,NTLA,Intellia Therapeutics Inc
MOON,NVTA,NVTA,INVITAE CORP USD 0.0001
MOON,OKTA,OKTA,Okta Inc
MOON,ONDS,ONDS,ONDAS HOLDINGS INC
MOON,OUST,OUST,OUSTER INC
MOON,PATH,PATH,UiPath Inc
MOON,PEAR,PEAR,PEAR THERAPEUTICS INC
MOON,PL,PL,Planet Labs PBC
MOON,RBLX,RBLX,ROBLOX Corp
MOON,RNA,RNA,AVIDITY BIOSCIENCES INC
MOON,ROIV,ROIV,ROIVANT SCIENCES LTD
MOON,S,S,SentinelOne Inc
MOON,SPCE,SPCE,VIRGIN GALACTIC HOLDINGS INC
MOON,SQSP,SQSP,Squarespace Inc
MOON,STRC,STRC,Sarcos Technology and Robotics Corp
MOON,TSP,TSP,TUSIMPLE HOLDINGS INC - A
MOON,U,U,Unity Software Inc
MOON,VLDR,VLDR,VELODYNE LIDAR INC
MOON,VMEO,VMEO,Vimeo Inc
MOON,VUZI,VUZI,Vuzix Corp
MOON,XOS,XOS,XOS INC
MOON,YELP,YELP,YELP INC USD 0.000001
TECL,AAPL,AAPL,APPLE INC
TECL,ACN,ACN,ACCENTURE PLC-CL A
TECL,ADBE,ADBE,ADOBE INC
TECL,ADI,ADI,ANALOG DEVICES INC
TECL,ADP,ADP,AUTOMATIC DATA PROCESSING
TECL,ADSK,ADSK,AUTODESK INC
TECL,AKAM,AKAM,AKAMAI TECHNOLOGIES INC
TECL,AMAT,AMAT,APPLIED MATERIALS INC
TECL,AMD,AMD,ADVANCED MICRO DEVICES
TECL,ANET,ANET,ARISTA NETWORKS INC
TECL,ANSS,ANSS,ANSYS INC
TECL,APH,APH,AMPHENOL CORP-CL A
TECL,AVGO,AVGO,BROADCOM INC
TECL,BR,BR,BROADRIDGE FINANCIAL SOLUTIO
TECL,CDAY,CDAY,CERIDIAN HCM HOLDING INC
TECL,CDNS,CDNS,CADENCE DESIGN SYS INC
TECL,CDW,CDW,CDW CORP/DE
TECL,CRM,CRM,SALESFORCE INC
TECL,CSCO,CSCO,CISCO SYSTEMS INC
TECL,CTSH,CTSH,COGNIZANT TECH SOLUTIONS-A
TECL,CTXS,CTXS,CITRIX SYSTEMS INC
TECL,DXC,DXC,DXC TECHNOLOGY CO
TECL,ENPH,ENPH,ENPHASE ENERGY INC
TECL,EPAM,EPAM,EPAM SYSTEMS INC
TECL,FFIV,FFIV,F5 INC
TECL,FIS,FIS,FIDELITY NATIONAL INFO SERV
TECL,FISV,FISV,FISERV INC
TECL,FLT,FLT,FLEETCOR TECHNOLOGIES INC
TECL,FTNT,FTNT,FORTINET INC
TECL,GLW,GLW,CORNING INC
TECL,GPN,GPN,GLOBAL PAYMENTS INC
TECL,HPE,HPE,HEWLETT PACKARD ENTERPRISE
TECL,HPQ,HPQ,HP INC
TECL,IBM,IBM,INTL BUSINESS MACHINES CORP
