ticker,yahoo_ticker,name
ZIMV,ZIMV,ZIMVIE INC
PHR,PHR,PHREESIA INC
TWST,TWST,TWIST BIOSCIENCE CORP
CRNC,CRNC,CERENCE INC
PACB,PACB,PACIFIC BIOSCIENCES OF CALIF
NTLA,NTLA,INTELLIA THERAPEUTICS INC
COIN,COIN,COINBASE GLOBAL INC -CLASS A
EDIT,EDIT,EDITAS MEDICINE INC
LSPD,LSPD,LIGHTSPEED COMMERCE INC
RNG,RNG,RINGCENTRAL INC-CLASS A
MARA,MARA,MARATHON DIGITAL HOLDINGS IN
RIOT,RIOT,RIOT BLOCKCHAIN INC
2013,2013.HK,WEIMOB INC
VCYT,VCYT,VERACYTE INC
MRTX,MRTX,MIRATI THERAPEUTICS INC
OKTA,OKTA,OKTA INC
COUP,COUP,COUPA SOFTWARE INC
NET,NET,CLOUDFLARE INC - CLASS A
EGHT,EGHT,8X8 INC
AMBA,AMBA,AMBARELLA INC
MSTR,MSTR,MICROSTRATEGY INC-CL A
DOCU,DOCU,DOCUSIGN INC
TNDM,TNDM,TANDEM DIABETES CARE INC
QTWO,QTWO,Q2 HOLDINGS INC
NVEI,NVEI,NUVEI CORP-SUBORDINATE VTG
BL,BL,BLACKLINE INC
GDS,9698.HK,GDS HOLDINGS LTD - ADR
VRNS,VRNS,VARONIS SYSTEMS INC
SYNA,SYNA,SYNAPTICS INC
LSCC,LSCC,LATTICE SEMICONDUCTOR CORP
MEDP,MEDP,MEDPACE HOLDINGS INC
RPD,RPD,RAPID7 INC
CRSP,CRSP,CRISPR THERAPEUTICS AG
NVRO,NVRO,NEVRO CORP
BB,BB,BLACKBERRY LTD
TDOC,TDOC,TELADOC HEALTH INC
CYBR,CYBR,CYBERARK SOFTWARE LTD/ISRAEL
MXL,MXL,MAXLINEAR INC
TTD,TTD,TRADE DESK INC/THE -CLASS A
MYGN,MYGN,MYRIAD GENETICS INC
PCTY,PCTY,PAYLOCITY HOLDING CORP
CGNX,CGNX,COGNEX CORP
VEEV,VEEV,VEEVA SYSTEMS INC-CLASS A
NTNX,NTNX,NUTANIX INC - A
QDEL,QDEL,QUIDEL CORP
ALTR,ALTR,ALTAIR ENGINEERING INC - A
SWAV,SWAV,SHOCKWAVE MEDICAL INC
DASH,DASH,DOORDASH INC - A
BILI,BILI,BILIBILI INC-SPONSORED ADR
CCOI,CCOI,COGENT COMMUNICATIONS HOLDIN
FOUR,FOUR,SHIFT4 PAYMENTS INC-CLASS A
SNOW,SNOW,SNOWFLAKE INC-CLASS A
NTAP,NTAP,NETAPP INC
VMW,VMW,VMWARE INC-CLASS A
DBX,DBX,DROPBOX INC-CLASS A
PINC,PINC,PREMIER INC-CLASS A
IART,IART,INTEGRA LIFESCIENCES HOLDING
MRVI,MRVI,MARAVAI LIFESCIENCES HLDGS-A
ICUI,ICUI,ICU MEDICAL INC
MASI,MASI,MASIMO CORP
NUVA,NUVA,NUVASIVE INC
QLYS,QLYS,QUALYS INC
TENB,TENB,TENABLE HOLDINGS INC
GMED,GMED,GLOBUS MEDICAL INC - A
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC - A
VC,VC,VISTEON CORP
CDXS,CDXS,CODEXIS INC
SPT,SPT,SPROUT SOCIAL INC - CLASS A
MIME,MIME,MIMECAST LTD
PTC,PTC,PTC INC
AVAV,AVAV,AEROVIRONMENT INC
ACHC,ACHC,ACADIA HEALTHCARE CO INC
MDRX,MDRX,ALLSCRIPTS HEALTHCARE SOLUTI
WDAY,WDAY,WORKDAY INC-CLASS A
NLOK,NLOK,NORTONLIFELOCK INC
CRUS,CRUS,CIRRUS LOGIC INC
SQ,SQ,BLOCK INC
GDDY,GDDY,GODADDY INC - CLASS A
CHKP,CHKP,CHECK POINT SOFTWARE TECH
FTNT,FTNT,FORTINET INC
EEFT,EEFT,EURONET WORLDWIDE INC
NTCT,NTCT,NETSCOUT SYSTEMS INC
SAIL,SAIL,SAILPOINT TECHNOLOGIES HOLDI
PINS,PINS,PINTEREST INC- CLASS A
UPWK,UPWK,UPWORK INC
MNDT,MNDT,MANDIANT INC
ABMD,ABMD,ABIOMED INC
CRBN,CRBN,CORBION NV
TFX,TFX,TELEFLEX INC
PANW,PANW,PALO ALTO NETWORKS INC
GME,GME,GAMESTOP CORP-CLASS A
TECH,TECH,BIO-TECHNE CORP
TTWO,TTWO,TAKE-TWO INTERACTIVE SOFTWRE
BYND,BYND,BEYOND MEAT INC
SMPL,SMPL,SIMPLY GOOD FOODS CO/THE
ALNY,ALNY,ALNYLAM PHARMACEUTICALS INC
CTLT,CTLT,CATALENT INC
EQIX,EQIX,EQUINIX INC
SE,SE,SEA LTD-ADR
SAP,SAP,SAP SE
PRFT,PRFT,PERFICIENT INC
AMD,AMD,ADVANCED MICRO DEVICES
NEOG,NEOG,NEOGEN CORP
PYPL,PYPL,PAYPAL HOLDINGS INC
NOW,NOW,SERVICENOW INC
ZBH,ZBH,ZIMMER BIOMET HOLDINGS INC
SXT,SXT,SENSIENT TECHNOLOGIES CORP
NVAX,NVAX,NOVAVAX INC
PDD,PDD,PINDUODUO INC-ADR
CERN,CERN,CERNER CORP
ZNGA,ZNGA,ZYNGA INC - CL A
RMD,RMD,RESMED INC
SMG,SMG,SCOTTS MIRACLE-GRO CO
HUBS,HUBS,HUBSPOT INC
AVGO,AVGO,BROADCOM INC
INTC,INTC,INTEL CORP
DXCM,DXCM,DEXCOM INC
ORCL,ORCL,ORACLE CORP
ILMN,ILMN,ILLUMINA INC
ANSS,ANSS,ANSYS INC
TMX,TMX,TERMINIX GLOBAL HOLDINGS INC
QCOM,QCOM,QUALCOMM INC
NFLX,NFLX,NETFLIX INC
SNAP,SNAP,SNAP INC - A
ACN,ACN,ACCENTURE PLC-CL A
TSM,TSM,TAIWAN SEMICONDUCTOR-SP ADR
AGCO,AGCO,AGCO CORP
EBAY,EBAY,EBAY INC
CSCO,CSCO,CISCO SYSTEMS INC
EA,EA,ELECTRONIC ARTS INC
EW,EW,EDWARDS LIFESCIENCES CORP
MA,MA,MASTERCARD INC - A
ISRG,ISRG,INTUITIVE SURGICAL INC
SYK,SYK,STRYKER CORP
MRNA,MRNA,MODERNA INC
TMO,TMO,THERMO FISHER SCIENTIFIC INC
V,V,VISA INC-CLASS A SHARES
CRM,CRM,SALESFORCE INC
ADBE,ADBE,ADOBE INC
NVDA,NVDA,NVIDIA CORP
FB,META,META PLATFORMS INC-CLASS A
META,META,META PLATFORMS INC-CLASS A
AMZN,AMZN,AMAZON.COM INC
MDT,MDT,MEDTRONIC PLC
FMC,FMC,FMC CORP
GOOGL,GOOGL,ALPHABET INC-CL A
DHR,DHR,DANAHER CORP
MSFT,MSFT,MICROSOFT CORP
IFF,IFF,INTL FLAVORS & FRAGRANCES
JNJ,JNJ,JOHNSON & JOHNSON
ROG,ROG,ROCHE HOLDING AG-GENUSSCHEIN
ABT,ABT,ABBOTT LABORATORIES
BKNG,BKNG,BOOKING HOLDINGS INC
ABBV,ABBV,ABBVIE INC
AAPL,AAPL,APPLE INC
DE,DE,DEERE & CO
MKC,MKC,MCCORMICK & CO-NON VTG SHRS
KD,KD,KYNDRYL HOLDINGS INC
MQ,MQ,MARQETA INC-A
SLAB,SLAB,SILICON LABORATORIES INC
FIVN,FIVN,FIVE9 INC
BLKB,BLKB,BLACKBAUD INC
IRDM,IRDM,IRIDIUM COMMUNICATIONS INC
MANT,MANT,MANTECH INTERNATIONAL CORP-A
TWLO,TWLO,TWILIO INC - A
BFH,BFH,BREAD FINANCIAL HOLDINGS INC
DOCN,DOCN,DIGITALOCEAN HOLDINGS INC
NTRA,NTRA,NATERA INC
NARI,NARI,INARI MEDICAL INC
CNMD,CNMD,CONMED CORP
GKOS,GKOS,GLAUKOS CORP
RARE,RARE,ULTRAGENYX PHARMACEUTICAL IN
INSP,INSP,INSPIRE MEDICAL SYSTEMS INC
GH,GH,GUARDANT HEALTH INC
TXG,TXG,10X GENOMICS INC-CLASS A
DGX,DGX,QUEST DIAGNOSTICS INC
NXPI,NXPI,NXP SEMICONDUCTORS NV
REA,REA.AX,REA GROUP LTD
ZI,ZI,ZOOMINFO TECHNOLOGIES INC
TWTR,TWTR,TWITTER INC
CHR,CHR.CO,CHR HANSEN HOLDING A/S
7974,7974.T,NINTENDO CO LTD
ATVI,ATVI,ACTIVISION BLIZZARD INC
DIS,DIS,WALT DISNEY CO/THE
SYAB,SYAN.DE,SYNLAB AG
603392,603392.SS,BEIJING WANTAI BIOLOGICAL-A
