ticker,yahoo_ticker,name
SQ,SQ,BLOCK INC
SHOP,SHOP,SHOPIFY INC - CLASS A
COIN,COIN,COINBASE GLOBAL INC -CLASS A
TWLO,TWLO,TWILIO INC - A
MELI,MELI,MERCADOLIBRE INC
HOOD,HOOD,ROBINHOOD MARKETS INC - A
PATH,PATH,UIPATH INC - CLASS A
SE,SE,SEA LTD-ADR
SI,SI,SILVERGATE CAPITAL CORP-CL A
DKNG UW,DKNG,DRAFTKINGS INC
Z,Z,ZILLOW GROUP INC - C
TDOC,TDOC,TELADOC HEALTH INC
TOST,TOST,TOAST INC-CLASS A
BILL,BILL,BILL.COM HOLDINGS INC
STNE,STNE,STONECO LTD-A
JD,JD,JD.COM INC-ADR
NU UN,NU,NU HOLDINGS LTD/CAYMAN ISL-A
INTU,INTU,INTUIT INC
GLBE,GLBE,GLOBAL-E ONLINE LTD
KSPI,KSPI.IL,JSC KASPI.KZ GDR-REG S
ICE,ICE,INTERCONTINENTAL EXCHANGE IN
FTCH,FTCH,FARFETCH LTD-CLASS A
TWTR,TWTR,TWITTER INC
ETSY,ETSY,ETSY INC
DKNG,DKNG,DRAFTKINGS INC
LC,LC,LENDINGCLUB CORP
TCS LI,TCS.IL,TCS GROUP HOLDING-GDR REG S
NVDA,NVDA,NVIDIA CORP
