ticker,yahoo_ticker,name
TSLA,TSLA,TESLA INC
ROKU,ROKU,ROKU INC
ZM,ZM,ZOOM VIDEO COMMUNICATIONS-A
COIN,COIN,COINBASE GLOBAL INC -CLASS A
SQ,SQ,BLOCK INC
EXAS,EXAS,EXACT SCIENCES CORP
TDOC,TDOC,TELADOC HEALTH INC
U,U,UNITY SOFTWARE INC
TWLO,TWLO,TWILIO INC - A
PATH,PATH,UIPATH INC - CLASS A
CRSP,CRSP,CRISPR THERAPEUTICS AG
NTLA,NTLA,INTELLIA THERAPEUTICS INC
SPOT,SPOT,SPOTIFY TECHNOLOGY SA
SHOP,SHOP,SHOPIFY INC - CLASS A
BEAM,BEAM,BEAM THERAPEUTICS INC
DKNG UW,DKNG,DRAFTKINGS INC
HOOD,HOOD,ROBINHOOD MARKETS INC - A
PD,PD,PAGERDUTY INC
FATE,FATE,FATE THERAPEUTICS INC
SGFY,SGFY,SIGNIFY HEALTH INC -CLASS A
RBLX,RBLX,ROBLOX CORP -CLASS A
DNA,DNA,GINKGO BIOWORKS HOLDINGS INC
TXG,TXG,10X GENOMICS INC-CLASS A
SSYS,SSYS,STRATASYS LTD
TWST,TWST,TWIST BIOSCIENCE CORP
VCYT,VCYT,VERACYTE INC
NVTA,NVTA,INVITAE CORP
SE,SE,SEA LTD-ADR
TSP,TSP,TUSIMPLE HOLDINGS INC - A
PACB,PACB,PACIFIC BIOSCIENCES OF CALIF
MTLS,MTLS,MATERIALISE NV-ADR
TWOU,TWOU,2U INC
CERS,CERS,CERUS CORP
BLI,BLI,BERKELEY LIGHTS INC
CGEN,CGEN,COMPUGEN LTD
DKNG,DKNG,DRAFTKINGS INC - CL A
NVDA,NVDA,NVIDIA CORP
