ticker,yahoo_ticker,name
TSLA,TSLA,TESLA INC
KTOS,KTOS,KRATOS DEFENSE & SECURITY
TRMB,TRMB,TRIMBLE INC
PATH,PATH,UIPATH INC - CLASS A
AVAV,AVAV,AEROVIRONMENT INC
DE,DE,DEERE & CO
KMTUY,KMTUY,KOMATSU LTD -SPONS ADR
IRDM,IRDM,IRIDIUM COMMUNICATIONS INC
BLDE,BLDE,BLADE AIR MOBILITY INC
TER,TER,TERADYNE INC
DDD,DDD,3D SYSTEMS CORP
MKFG,MKFG,MARKFORGED HOLDING CORP
ACHR,ACHR,ARCHER AVIATION INC-A
ESLT,ESLT,ELBIT SYSTEMS LTD
TSP,TSP,TUSIMPLE HOLDINGS INC - A
U,U,UNITY SOFTWARE INC
GOOG,GOOG,ALPHABET INC-CL C
BYDDY,BYDDY,BYD CO LTD-UNSPONSORED ADR
MGA,MGA,MAGNA INTERNATIONAL INC
CAT,CAT,CATERPILLAR INC
XPEV,XPEV,XPENG INC - ADR
VLD,VLD,VELO3D INC
NIU,NIU,NIU TECHNOLOGIES-SPONS ADR
NNDM,NNDM,NANO DIMENSION LTD - ADR
BIDU,BIDU,BAIDU INC - SPON ADR
SSYS,SSYS,STRATASYS LTD
PRLB,PRLB,PROTO LABS INC
MTLS,MTLS,MATERIALISE NV-ADR
TDY,TDY,TELEDYNE TECHNOLOGIES INC
SNPS,SNPS,SYNOPSYS INC
ANSS,ANSS,ANSYS INC
VUZI,VUZI,VUZIX CORP
LMT,LMT,LOCKHEED MARTIN CORP
ISRG,ISRG,INTUITIVE SURGICAL INC
TWOU,TWOU,2U INC
NIO,NIO,NIO INC - ADR
MTTR,MTTR,MATTERPORT INC
ONVO ,ONVO,ORGANOVO HOLDINGS INC
GM,GM,GENERAL MOTORS CO
