ticker,yahoo_ticker,name
GBTC,GBTC,GRAYSCALE BITCOIN TRUST BTC
TSLA,TSLA,TESLA INC
COIN,COIN,COINBASE GLOBAL INC -CLASS A
ROKU,ROKU,ROKU INC
SQ,SQ,BLOCK INC
ZM,ZM,ZOOM VIDEO COMMUNICATIONS-A
TWLO,TWLO,TWILIO INC - A
SHOP,SHOP,SHOPIFY INC - CLASS A
TDOC,TDOC,TELADOC HEALTH INC
SPOT,SPOT,SPOTIFY TECHNOLOGY SA
DKNG UW,DKNG,DRAFTKINGS INC
U,U,UNITY SOFTWARE INC
PATH,PATH,UIPATH INC - CLASS A
SE,SE,SEA LTD-ADR
RBLX,RBLX,ROBLOX CORP -CLASS A
PD,PD,PAGERDUTY INC
HOOD,HOOD,ROBINHOOD MARKETS INC - A
MELI,MELI,MERCADOLIBRE INC
MNDY,MNDY,MONDAY.COM LTD
OKTA,OKTA,OKTA INC
NNDM,NNDM,NANO DIMENSION LTD - ADR
VUZI,VUZI,VUZIX CORP
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC - A
NET,NET,CLOUDFLARE INC - CLASS A
KIND,KIND,NEXTDOOR HOLDINGS INC
GENI,GENI,GENIUS SPORTS LTD
VCYT,VCYT,VERACYTE INC
ADYEY,ADYEY,ADYEN NV-UNSPON ADR
TWOU,TWOU,2U INC
EDR  UN,EDR,ENDEAVOR GROUP HOLD-CLASS A
DIS,DIS,WALT DISNEY CO/THE
PTON,PTON,PELOTON INTERACTIVE INC-A
TWTR,TWTR,TWITTER INC
SNOW,SNOW,SNOWFLAKE INC-CLASS A
DKNG,DKNG,DRAFTKINGS INC - CL A
NU UN,NU,NU HOLDINGS LTD/CAYMAN ISL-A
SPLK,SPLK,SPLUNK INC
NVDA,NVDA,NVIDIA CORP
