ticker,yahoo_ticker,name
TRMB,TRMB,TRIMBLE INC
KTOS,KTOS,KRATOS DEFENSE & SECURITY
PRNT,PRNT,THE 3D PRINTING ETF
AVAV,AVAV,AEROVIRONMENT INC
LHX,LHX,L3HARRIS TECHNOLOGIES INC
IRDM,IRDM,IRIDIUM COMMUNICATIONS INC
BLDE,BLDE,BLADE AIR MOBILITY INC
DE,DE,DEERE & CO
GRMN U,GRMN,GARMIN LTD
AMZN,AMZN,AMAZON.COM INC
ACHR,ACHR,ARCHER AVIATION INC-A
TER,TER,TERADYNE INC
PATH,PATH,UIPATH INC - CLASS A
GOOG,GOOG,ALPHABET INC-CL C
JOBY,JOBY,JOBY AVIATION INC
ESLT,ESLT,ELBIT SYSTEMS LTD
SPR,SPR,SPIRIT AEROSYSTEMS HOLD-CL A
MKFG,MKFG,MARKFORGED HOLDING CORP
U,U,UNITY SOFTWARE INC
VLD,VLD,VELO3D INC
HON,HON,HONEYWELL INTERNATIONAL INC
MYNA,MYNA,MYNARIC AG
AIR,AIR,AIRBUS SE
TDY,TDY,TELEDYNE TECHNOLOGIES INC
HEI,HEI,HEICO CORP
LMT,LMT,LOCKHEED MARTIN CORP
SNPS,SNPS,SYNOPSYS INC
ANSS,ANSS,ANSYS INC
DDD,DDD,3D SYSTEMS CORP
PRLB,PRLB,PROTO LABS INC
