ticker,yahoo_ticker,name
CHKP,CHKP,CHECK POINT SOFTWARE TECH
FTNT,FTNT,FORTINET INC
PANW,PANW,PALO ALTO NETWORKS INC
CRWD,CRWD,CROWDSTRIKE HO-A
4704 JP,TMICY,TREND MICRO INC
NLOK,NLOK,NORTONLIFELOCK INC
OKTA,OKTA,OKTA INC
SAIL,SAIL,SAILPOINT TECHNO
MNDT,MNDT,MANDIANT INC
ZS,ZS,ZSCALER INC
CYBR,CYBR,CYBERARK SOFTWAR
TENB,TENB,TENABLE HOLDINGS INC
QLYS,QLYS,QUALYS INC
AVST LN,AVST.L,AVAST PLC
VRNS,VRNS,VARONIS SYSTEMS INC
RPD,RPD,RAPID7 INC
DARK LN,DARK.L,DARKTRACE PLC
S,S,SENTINELONE INC -CLASS A
PING,PING,PING IDENTITY HO
ATEN,ATEN,A10 NETWORKS INC
RDWR,RDWR,RADWARE LTD
2326 JP,2326.T,DIGITAL ARTS INC
TLS,TLS,TELOS CORPORATION
OSPN,OSPN,ONESPAN INC
TUFN,TUFN,TUFIN SOFTWARE T
ABST CN,ABST,ABSOLUTE SOFTWRE
SCWX,SCWX,SECUREWORKS CORP - A
4493 JP,4493.T,CYBER SECURITY CLOUD INC
VHC,VHC,VIRNETX HOLDING CORP
MIME,MIME,MIMECAST LTD
