ticker,yahoo_ticker,name
PANW,PANW,Palo Alto Networks
CSCO,CSCO,Cisco Systems
CRWD,CRWD,CrowdStrike Holdings
ZS,ZS,Zscaler
MNDT,MNDT,Mandiant Inc.
LDOS,LDOS,Leidos Holdings
BAH,BAH,Booz Allen Hamilton Holding Corporation
NET,NET,Cloudflare
SAIL,SAIL,SailPoint Technologies Holdings
AKAM,AKAM,Akamai Technologies
JNPR,JNPR,Juniper Networks
CHKP,CHKP,Check Point Software Technologies Ltd.
NLOK,NLOK,NortonLifeLock Inc.
SPLK,SPLK,Splunk Inc.
FTNT,FTNT,Fortinet
INFY,INFY,Infosys Limited (ADR)
VMW,VMW,VMware
FFIV,FFIV,F5 Inc.
VRSN,VRSN,VeriSign
CYBR,CYBR,CyberArk Software Ltd.
TENB,TENB,Tenable Holdings
S,S,SentinelOne
QLYS,QLYS,Qualys
HO.FP,HO.PA,Thales S.A.
VRNS,VRNS,Varonis Systems
4704.JP,TMICY,Trend Micro Incorporated
RPD,RPD,Rapid7
OKTA,OKTA,Okta
SAIC,SAIC,Science Applications International Corporation
MANT,MANT,ManTech International Corporation
PING,PING,Ping Identity Holding Corp.
KNBE,KNBE,KnowBe4
DARK.LN,DARK.L,Darktrace Plc
ATEN,ATEN,A10 Networks
RDWR,RDWR,Radware Ltd.
TLS,TLS,Telos Corporation
TUFN,TUFN,Tufin Software Technologies Limited
ARQQ,ARQQ,Arqit Quantum Inc.
OSPN,OSPN,OneSpan Inc.
RBBN,RBBN,Ribbon Communications Inc.
