ticker,yahoo_ticker,name
BASE,BASE,COUCHBASE INC
SWI,SWI,SOLARWINDS CORP
SUMO,SUMO,SUMO LOGIC INC
TWOU,TWOU,2U INC
MSP,MSP,TO HOLDING CORP
DOMO,DOMO,DOMO INC - CLASS B
LPSN,LPSN,LIVEPERSON INC
CFLT,CFLT,CONFLUENT INC-CLASS A
IDCC,IDCC,INTERDIGITAL INC
SNOW,SNOW,SNOWFLAKE INC-CLASS A
INFA,INFA,INFORMATICA INC - CLASS A
MSTR,MSTR,MICROSTRATEGY INC-CL A
PLTR,PLTR,PALANTIR TECHNOLOGIES INC-A
NTCT,NTCT,NETSCOUT SYSTEMS INC
NEWR,NEWR,NEW RELIC INC
CVLT,CVLT,COMMVAULT SYSTEMS INC
ESTC,ESTC,ELASTIC NV
ZBRA,ZBRA,ZEBRA TECHNOLOGIES CORP-CL A
DT,DT,DYNATRACE INC
MDB,MDB,MONGODB INC
DDOG,DDOG,ADOG INC - CLASS A
NICE,NICE,NICE LTD
TYL,TYL,TYLER TECHNOLOGIES INC
NTNX,NTNX,NUTANIX INC - A
AYX,AYX,ALTERYX INC - CLASS A
FIVN,FIVN,FIVE9 INC
TDC,TDC,TERAA CORP
SPLK,SPLK,SPLUNK INC
CPLF,CPLFF,COPPERLEAF TECHNOLOGIES
ZEN,ZEN,ZENDESK INC
