Ticker,Yahoo,Name
GOOG,GOOG,Alphabet Inc-Cl C
AMZN,AMZN,Amazon.com Inc
AMT,AMT,American Tower Corp
BALL,BALL,Ball Corp
BFIT,BFIT,Basic-Fit NV
BMBL,BMBL,Bumble Inc
EVD,EVD,CTS Eventim AG & Co KGaA
CPR,CPR,Davide Campari-Milano NV
EA,EA,Electronic Arts Inc
ETSY,ETSY,Etsy Inc
FTCH,FTCH,Farfetch Ltd
GH,GH,Guardant Health Inc
ILMN,ILMN,Illumina Inc
DSM,DSM,Koninklijke DSM NV
LYV,LYV,Live Nation Entertainment Inc
MC,MC,LVMH Moet Hennessy Louis Vuitton SE
MA,MA,Mastercard Inc
MELI,MELI,MercadoLibre Inc
META,META,Meta Platforms Inc
NEE,NEE,NextEra Energy Inc
NKE,NKE,NIKE Inc
NVDA,NVDA,NVIDIA Corp
SE,SE,Sea Ltd
SNAP,SNAP,Snap Inc
TMUS,TMUS,T-Mobile US Inc
2330,2330,Taiwan Semiconductor Manufacturing Co Ltd
ULTA,ULTA,Ulta Beauty Inc
DIS,DIS,Walt Disney Co
