Ticker,Yahoo,Name
MMM,MMM,3M Co
ABT,ABT,Abbott Laboratories
ABBV,ABBV,AbbVie Inc
ABMD,ABMD,ABIOMED Inc
ACN,ACN,Accenture PLC
ATVI,ATVI,Activision Blizzard Inc
ADBE,ADBE,Adobe Inc
AAP,AAP,Advance Auto Parts Inc
AMD,AMD,Advanced Micro Devices Inc
AES,AES,AES Corp
AFL,AFL,Aflac Inc
A,A,Agilent Technologies Inc
APD,APD,Air Products and Chemicals Inc
AKAM,AKAM,Akamai Technologies Inc
ALB,ALB,Albemarle Corp
AA,AA,Alcoa Corp
ARE,ARE,Alexandria Real Estate Equities Inc
ALGN,ALGN,Align Technology Inc
LNT,LNT,Alliant Energy Corp
ALL,ALL,Allstate Corp
ALLY,ALLY,Ally Financial Inc
ALNY,ALNY,Alnylam Pharmaceuticals Inc
GOOGL,GOOGL,Alphabet Inc-Cl A
GOOG,GOOG,Alphabet Inc-Cl C
MO,MO,Altria Group Inc
AMZN,AMZN,Amazon.com Inc
AEE,AEE,Ameren Corp
AEP,AEP,American Electric Power Co Inc
AXP,AXP,American Express Co
AIG,AIG,American International Group Inc
AMT,AMT,American Tower Corp
AWK,AWK,American Water Works Co Inc
AMP,AMP,Ameriprise Financial Inc
ABC,ABC,AmerisourceBergen Corp
AME,AME,AMETEK Inc
AMGN,AMGN,Amgen Inc
APH,APH,Amphenol Corp
ADI,ADI,Analog Devices Inc
ANSS,ANSS,ANSYS Inc
AON,AON,Aon PLC
APA,APA,APA Corp
APO,APO,Apollo Global Management Inc
AAPL,AAPL,Apple Inc
AMAT,AMAT,Applied Materials Inc
ACGL,ACGL,Arch Capital Group Ltd
ADM,ADM,Archer-Daniels-Midland Co
ANET,ANET,Arista Networks Inc
AJG,AJG,Arthur J Gallagher & Co
T,T,AT&T Inc
ATO,ATO,Atmos Energy Corp
ADSK,ADSK,Autodesk Inc
ADP,ADP,Automatic Data Processing Inc
AZO,AZO,AutoZone Inc
AVB,AVB,AvalonBay Communities Inc
AVTR,AVTR,Avantor Inc
AVY,AVY,Avery Dennison Corp
BKR,BKR,Baker Hughes Co
BALL,BALL,Ball Corp
BAC,BAC,Bank of America Corp
BK,BK,Bank of New York Mellon Corp
BBWI,BBWI,Bath & Body Works Inc
BAX,BAX,Baxter International Inc
BDX,BDX,Becton Dickinson and Co
BRK/B,BRK-B,Berkshire Hathaway Inc
BBY,BBY,Best Buy Co Inc
BIIB,BIIB,Biogen Inc
BLK,BLK,BlackRock Inc
BX,BX,Blackstone Inc
SQ,SQ,Block Inc
BKNG,BKNG,Booking Holdings Inc
BXP,BXP,Boston Properties Inc
BSX,BSX,Boston Scientific Corp
BMY,BMY,Bristol-Myers Squibb Co
AVGO,AVGO,Broadcom Inc
BR,BR,Broadridge Financial Solutions Inc
BRO,BRO,Brown & Brown Inc
BF/B,BF-B,Brown-Forman Corp
BG,BG,Bunge Ltd
BURL,BURL,Burlington Stores Inc
CDNS,CDNS,Cadence Design Systems Inc
CZR,CZR,Caesars Entertainment Inc
CPT,CPT,Camden Property Trust
COF,COF,Capital One Financial Corp
CAH,CAH,Cardinal Health Inc
CARR,CARR,Carrier Global Corp
CAT,CAT,Caterpillar Inc
CBRE,CBRE,CBRE Group Inc
CDW,CDW,CDW Corp
CE,CE,Celanese Corp
CNC,CNC,Centene Corp
CNP,CNP,CenterPoint Energy Inc
CF,CF,CF Industries Holdings Inc
CRL,CRL,Charles River Laboratories International Inc
SCHW,SCHW,Charles Schwab Corp
CHTR,CHTR,Charter Communications Inc
LNG,LNG,Cheniere Energy Inc
CVX,CVX,Chevron Corp
CMG,CMG,Chipotle Mexican Grill Inc
CB,CB,Chubb Ltd
CHD,CHD,Church & Dwight Co Inc
CI,CI,Cigna Corp
CINF,CINF,Cincinnati Financial Corp
CTAS,CTAS,Cintas Corp
CSCO,CSCO,Cisco Systems Inc
C,C,Citigroup Inc
CFG,CFG,Citizens Financial Group Inc
CLX,CLX,Clorox Co
CME,CME,CME Group Inc
CMS,CMS,CMS Energy Corp
KO,KO,Coca-Cola Co
CTSH,CTSH,Cognizant Technology Solutions Corp
COIN,COIN,Coinbase Global Inc
CL,CL,Colgate-Palmolive Co
CMCSA,CMCSA,Comcast Corp
CAG,CAG,Conagra Brands Inc
COP,COP,ConocoPhillips
ED,ED,Consolidated Edison Inc
STZ,STZ,Constellation Brands Inc
CEG,CEG,Constellation Energy Corp
COO,COO,Cooper Cos Inc
CPRT,CPRT,Copart Inc
GLW,GLW,Corning Inc
CTVA,CTVA,Corteva Inc
COST,COST,Costco Wholesale Corp
CTRA,CTRA,Coterra Energy Inc
CRWD,CRWD,Crowdstrike Holdings Inc
CCI,CCI,Crown Castle Inc
CSX,CSX,CSX Corp
CMI,CMI,Cummins Inc
CVS,CVS,CVS Health Corp
DHR,DHR,Danaher Corp
DRI,DRI,Darden Restaurants Inc
DDOG,DDOG,Datadog Inc
DE,DE,Deere & Co
DELL,DELL,Dell Technologies Inc
DVN,DVN,Devon Energy Corp
DXCM,DXCM,Dexcom Inc
FANG,FANG,Diamondback Energy Inc
DLR,DLR,Digital Realty Trust Inc
DFS,DFS,Discover Financial Services
DOCU,DOCU,DocuSign Inc
DG,DG,Dollar General Corp
DLTR,DLTR,Dollar Tree Inc
D,D,Dominion Energy Inc
DPZ,DPZ,Dominos Pizza Inc
DOV,DOV,Dover Corp
DOW,DOW,Dow Inc
DHI,DHI,DR Horton Inc
DTE,DTE,DTE Energy Co
DUK,DUK,Duke Energy Corp
DRE,DRE,Duke Realty Corp
DD,DD,DuPont de Nemours Inc
EMN,EMN,Eastman Chemical Co
ETN,ETN,Eaton Corp PLC
EBAY,EBAY,eBay Inc
ECL,ECL,Ecolab Inc
EIX,EIX,Edison International
EW,EW,Edwards Lifesciences Corp
EA,EA,Electronic Arts Inc
ELV,ELV,Elevance Health Inc
LLY,LLY,Eli Lilly & Co
EMR,EMR,Emerson Electric Co
ENTG,ENTG,Entegris Inc
ETR,ETR,Entergy Corp
EOG,EOG,EOG Resources Inc
EPAM,EPAM,EPAM Systems Inc
EQT,EQT,EQT Corp
EFX,EFX,Equifax Inc
EQIX,EQIX,Equinix Inc
EQR,EQR,Equity Residential
ESS,ESS,Essex Property Trust Inc
EL,EL,Estee Lauder Cos Inc
ETSY,ETSY,Etsy Inc
EVRG,EVRG,Evergy Inc
ES,ES,Eversource Energy
EXC,EXC,Exelon Corp
EXPE,EXPE,Expedia Group Inc
EXPD,EXPD,Expeditors International of Washington Inc
EXR,EXR,Extra Space Storage Inc
XOM,XOM,Exxon Mobil Corp
FDS,FDS,FactSet Research Systems Inc
FAST,FAST,Fastenal Co
FDX,FDX,FedEx Corp
FIS,FIS,Fidelity National Information Services Inc
FRC,FRC,First Republic Bank
FE,FE,FirstEnergy Corp
FISV,FISV,Fiserv Inc
FLT,FLT,FleetCor Technologies Inc
F,F,Ford Motor Co
FTNT,FTNT,Fortinet Inc
FTV,FTV,Fortive Corp
GRMN,GRMN,Garmin Ltd
IT,IT,Gartner Inc
GD,GD,General Dynamics Corp
GE,GE,General Electric Co
GIS,GIS,General Mills Inc
GPC,GPC,Genuine Parts Co
GILD,GILD,Gilead Sciences Inc
GPN,GPN,Global Payments Inc
HAL,HAL,Halliburton Co
HIG,HIG,Hartford Financial Services Group Inc
HCA,HCA,HCA Healthcare Inc
PEAK,PEAK,Healthpeak Properties Inc
HSY,HSY,Hershey Co
HES,HES,Hess Corp
HPE,HPE,Hewlett Packard Enterprise Co
HLT,HLT,Hilton Worldwide Holdings Inc
