Ticker,Yahoo,Name
FLWS,FLWS,1-800-Flowers.com Inc
SRCE,SRCE,1st Source Corp
TWOU,TWOU,2U Inc
DDD,DDD,3D Systems Corp
EGHT,EGHT,8x8 Inc
AMRK,AMRK,A-Mark Precious Metals Inc
ATEN,ATEN,A10 Networks Inc
AAON,AAON,AAON Inc
AIR,AIR,AAR Corp
AAN,AAN,Aarons Co Inc
ABCL,ABCL,AbCellera Biologics Inc
ANF,ANF,Abercrombie & Fitch Co
ABM,ABM,ABM Industries Inc
ASO,ASO,Academy Sports & Outdoors Inc
ACAD,ACAD,ACADIA Pharmaceuticals Inc
AKR,AKR,Acadia Realty Trust
ACCO,ACCO,ACCO Brands Corp
ACIW,ACIW,ACI Worldwide Inc
ACNB,ACNB,ACNB Corp
GOLF,GOLF,Acushnet Holdings Corp
AHCO,AHCO,AdaptHealth Corp
ADUS,ADUS,Addus HomeCare Corp
ADNT,ADNT,Adient PLC
ATGE,ATGE,Adtalem Global Education Inc
ADTN,ADTN,ADTRAN Holdings Inc
AEIS,AEIS,Advanced Energy Industries Inc
ASIX,ASIX,AdvanSix Inc
ADV,ADV,Advantage Solutions Inc
AERI,AERI,Aerie Pharmaceuticals Inc
AJRD,AJRD,Aerojet Rocketdyne Holdings Inc
AVAV,AVAV,AeroVironment Inc
AGYS,AGYS,Agilysys Inc
ADC,ADC,Agree Realty Corp
ATSG,ATSG,Air Transport Services Group Inc
ALG,ALG,Alamo Group Inc
ALRM,ALRM,Alarm.com Holdings Inc
AIN,AIN,Albany International Corp
ALEC,ALEC,Alector Inc
ALEX,ALEX,Alexander & Baldwin Inc
ALX,ALX,Alexanders Inc
ALCO,ALCO,Alico Inc
ALIT,ALIT,Alight Inc
ALKS,ALKS,Alkermes PLC
ABTX,ABTX,Allegiance Bancshares Inc
ALGT,ALGT,Allegiant Travel Co
ALE,ALE,ALLETE Inc
AMOT,AMOT,Allied Motion Technologies Inc
MDRX,MDRX,Allscripts Healthcare Solutions Inc
AOSL,AOSL,Alpha & Omega Semiconductor Ltd
AMR,AMR,Alpha Metallurgical Resources Inc
ALTR,ALTR,Altair Engineering Inc
ALTO,ALTO,Alto Ingredients Inc
AIMC,AIMC,Altra Industrial Motion Corp
AMBA,AMBA,Ambarella Inc
AMCX,AMCX,AMC Networks Inc
AMTB,AMTB,Amerant Bancorp Inc
AMRC,AMRC,Ameresco Inc
AAT,AAT,American Assets Trust Inc
AXL,AXL,American Axle & Manufacturing Holdings Inc
AEO,AEO,American Eagle Outfitters Inc
AEL,AEL,American Equity Investment Life Holding Co
AMNB,AMNB,American National Bankshares Inc
APEI,APEI,American Public Education Inc
AMSWA,AMSWA,American Software Inc
AWR,AWR,American States Water Co
AVD,AVD,American Vanguard Corp
AMWD,AMWD,American Woodmark Corp
ABCB,ABCB,Ameris Bancorp
AMSF,AMSF,AMERISAFE Inc
FOLD,FOLD,Amicus Therapeutics Inc
AMKR,AMKR,Amkor Technology Inc
AMN,AMN,AMN Healthcare Services Inc
AMRX,AMRX,Amneal Pharmaceuticals Inc
AMPH,AMPH,Amphastar Pharmaceuticals Inc
AMPY,AMPY,Amplify Energy Corp
ANDE,ANDE,Andersons Inc
ANGO,ANGO,AngioDynamics Inc
ANIP,ANIP,ANI Pharmaceuticals Inc
ANIK,ANIK,Anika Therapeutics Inc
HOUS,HOUS,Anywhere Real Estate Inc
AIV,AIV,Apartment Investment and Management Co
APLS,APLS,Apellis Pharmaceuticals Inc
APG,APG,API Group Corp
APOG,APOG,Apogee Enterprises Inc
ARI,ARI,Apollo Commercial Real Estate Finance Inc
AMEH,AMEH,Apollo Medical Holdings Inc
APPF,APPF,Appfolio Inc
APPN,APPN,Appian Corp
APLE,APLE,Apple Hospitality REIT Inc
AIT,AIT,Applied Industrial Technologies Inc
ABR,ABR,Arbor Realty Trust Inc
ARCB,ARCB,ArcBest Corp
ARCH,ARCH,Arch Resources Inc
LFG,LFG,Archaea Energy Inc
AROC,AROC,Archrock Inc
ARNC,ARNC,Arconic Corp
ACA,ACA,Arcosa Inc
RCUS,RCUS,Arcus Biosciences Inc
AREN,AREN,Arena Group Holdings Inc
ACRE,ACRE,Ares Commercial Real Estate Corp
AGX,AGX,Argan Inc
ARGO,ARGO,Argo Group International Holdings Ltd
ARLO,ARLO,Arlo Technologies Inc
AHH,AHH,Armada Hoffler Properties Inc
ARR,ARR,ARMOUR Residential REIT Inc
ARRY,ARRY,Array Technologies Inc
AROW,AROW,Arrow Financial Corp
ARWR,ARWR,Arrowhead Pharmaceuticals Inc
ARTNA,ARTNA,Artesian Resources Corp
APAM,APAM,Artisan Partners Asset Management Inc
ARVN,ARVN,Arvinas Inc
ASAN,ASAN,Asana Inc
ABG,ABG,Asbury Automotive Group Inc
ASGN,ASGN,ASGN Inc
ASB,ASB,Associated Banc-Corp
ASTE,ASTE,Astec Industries Inc
AVIR,AVIR,Atea Pharmaceuticals Inc
ATI,ATI,ATI Inc
ATKR,ATKR,Atkore Inc
AUB,AUB,Atlantic Union Bankshares Corp
ATLC,ATLC,Atlanticus Holdings Corp
AAWW,AAWW,Atlas Air Worldwide Holdings Inc
ATCX,ATCX,Atlas Technical Consultants Inc
ATRC,ATRC,AtriCure Inc
ATRI,ATRI,Atrion Corp
AUD,AUD,Audacy Inc
AVNS,AVNS,Avanos Medical Inc
AVYA,AVYA,Avaya Holdings Corp
AVID,AVID,Avid Technology Inc
AVNT,AVNT,Avient Corp
AVA,AVA,Avista Corp
ACLS,ACLS,Axcelis Technologies Inc
AXNX,AXNX,Axonics Inc
AX,AX,Axos Financial Inc
AZZ,AZZ,AZZ Inc
RILY,RILY,B Riley Financial Inc
BGS,BGS,B&G Foods Inc
BW,BW,Babcock & Wilcox Enterprises Inc
BMI,BMI,Badger Meter Inc
BCPC,BCPC,Balchem Corp
BANC,BANC,Banc of California Inc
BANF,BANF,BancFirst Corp
BLX,BLX,Banco Latinoamericano de Comercio Exterior SA
TBBK,TBBK,Bancorp Inc
BFC,BFC,Bank First Corp
BMRC,BMRC,Bank of Marin Bancorp
NTB,NTB,Bank of NT Butterfield & Son Ltd
BKU,BKU,BankUnited Inc
BWFG,BWFG,Bankwell Financial Group Inc
BANR,BANR,Banner Corp
B,B,Barnes Group Inc
BBSI,BBSI,Barrett Business Services Inc
BCML,BCML,BayCom Corp
BCBP,BCBP,BCB Bancorp Inc
BODY,BODY,Beachbody Co Inc
BECN,BECN,Beacon Roofing Supply Inc
BEAM,BEAM,Beam Therapeutics Inc
SKIN,SKIN,Beauty Health Co
BZH,BZH,Beazer Homes USA Inc
BBBY,BBBY,Bed Bath & Beyond Inc
BDC,BDC,Belden Inc
BRBR,BRBR,BellRing Brands Inc
BHE,BHE,Benchmark Electronics Inc
BNFT,BNFT,Benefitfocus Inc
BHLB,BHLB,Berkshire Hills Bancorp Inc
BRY,BRY,Berry Corp
BGCP,BGCP,BGC Partners Inc
BGFV,BGFV,Big 5 Sporting Goods Corp
BIG,BIG,Big Lots Inc
BCRX,BCRX,BioCryst Pharmaceuticals Inc
BHVN,BHVN,Biohaven Pharmaceutical Holding Co Ltd
BJRI,BJRI,BJs Restaurants Inc
BKH,BKH,Black Hills Corp
BLKB,BLKB,Blackbaud Inc
BL,BL,Blackline Inc
BXMT,BXMT,Blackstone Mortgage Trust Inc
BE,BE,Bloom Energy Corp
BLMN,BLMN,Bloomin Brands Inc
BCOR,BCOR,Blucora Inc
BLBD,BLBD,Blue Bird Corp
BRBS,BRBS,Blue Ridge Bankshares Inc
BVH,BVH,Bluegreen Vacations Holding Corp
BXC,BXC,BlueLinx Holdings Inc
BPMC,BPMC,Blueprint Medicines Corp
BRG,BRG,Bluerock Residential Growth REIT Inc
BCC,BCC,Boise Cascade Co
BOOT,BOOT,Boot Barn Holdings Inc
BORR,BORR,Borr Drilling Ltd
BOX,BOX,Box Inc
BRC,BRC,Brady Corp
BHR,BHR,Braemar Hotels & Resorts Inc
BDN,BDN,Brandywine Realty Trust
BFH,BFH,Bread Financial Holdings Inc
MNRL,MNRL,Brigham Minerals Inc
BCOV,BCOV,Brightcove Inc
