Ticker,Yahoo,Name
ADYEN,ADYEN.AS,Adyen NV
APP,APP,AppLovin Corp
5269,5269.TW,ASMedia Technology Inc
AZPN,AZPN,Aspen Technology Inc
TEAM,TEAM,Atlassian Corp PLC
9888,BIDU,Baidu Inc
BILL,BILL,Bill.com Holdings Inc
CDNS,CDNS,Cadence Design Systems Inc
CLNX,CLNX.MC,Cellnex Telecom SA
CTSH,CTSH,Cognizant Technology Solutions Corp
DDOG,DDOG,Datadog Inc
2308,2308.TW,Delta Electronics Inc
DLO,DLO,Dlocal Ltd/Uruguay
DT,DT,Dynatrace Inc
ENTG,ENTG,Entegris Inc
ETSY,ETSY,Etsy Inc
FIS,FIS,Fidelity National Information Services Inc
7741,7741.T,Hoya Corp
HUBS,HUBS,HubSpot Inc
IFX,IFX.DE,Infineon Technologies AG
268,0268.HK,Kingdee International Software Group Co Ltd
KLAC,KLAC,KLA Corp
1024,1024.HK,Kuaishou Technology
002475,002475.SZ,Luxshare Precision Industry Co Ltd
MRVL,MRVL,Marvell Technology Inc
MTCH,MTCH,Match Group Inc
2454,2454.T,MediaTek Inc
MELI,MELI,MercadoLibre Inc
MKSI,MKSI,MKS Instruments Inc
MSI,MSI,Motorola Solutions Inc
035420,035420.KS,NAVER Corp
9999,9999.HK,NetEase Inc
6594,6594.T,Nidec Corp
NXPI,NXPI,NXP Semiconductors NV
OKTA,OKTA,Okta Inc
ON,ON,ON Semiconductor Corp
PANW,PANW,Palo Alto Networks Inc
PCOR,PCOR,Procore Technologies Inc
XM,XM,Qualtrics International Inc
RNG,RNG,RingCentral Inc
300454,300454.SZ,Sangfor Technologies Inc
SBAC,SBAC,SBA Communications Corp
SE,SE,Sea Ltd
6415,6415.TW,Silergy Corp
SNAP,SNAP,Snap Inc
SNOW,SNOW,Snowflake Inc
8035,TOELY,Tokyo Electron Ltd
PATH,PATH,UiPath Inc
3037,3037.TW,Unimicron Technology Corp
2303,2303.TW,United Microelectronics Corp
5347,5347.TWO,Vanguard International Semiconductor Corp
002439,002439.SZ,Venustech Group Inc
VIAV,VIAV,Viavi Solutions Inc
2013,2013.HK,Weimob Inc
WOLF,WOLF,Wolfspeed Inc
WDAY,WDAY,Workday Inc
YNDX,YNDX,Yandex NV
6965,6968.T,Hamamatsu Photonics KK
