Ticker,Yahoo,Name
ATVI,ATVI,Activision Blizzard Inc
AMD,AMD,Advanced Micro Devices Inc
BABA,BABA,Alibaba Group Holding Ltd
GOOGL,GOOGL,Alphabet Inc-Cl A
AMZN,AMZN,Amazon.com Inc
APO,APO,Apollo Global Management Inc
AAPL,AAPL,Apple Inc
TEAM,TEAM,Atlassian Corp PLC
BAC,BAC,Bank of America Corp
BRK/B,BRK-B,Berkshire Hathaway Inc
BHVN,BHVN,Biohaven Pharmaceutical Holding Co Ltd
BKNG,BKNG,Booking Holdings Inc
BLDR,BLDR,Builders FirstSource Inc
CNC,CNC,Centene Corp
SCHW,SCHW,Charles Schwab Corp
CHTR,CHTR,Charter Communications Inc
LNG,LNG,Cheniere Energy Inc
CHK,CHK,Chesapeake Energy Corp
C,C,Citigroup Inc
CRWD,CRWD,Crowdstrike Holdings Inc
CCK,CCK,Crown Holdings Inc
DHR,DHR,Danaher Corp
ESTC,ESTC,Elastic NV
ELV,ELV,Elevance Health Inc
EQT,EQT,EQT Corp
FISV,FISV,Fiserv Inc
FIVN,FIVN,Five9 Inc
FYBR,FYBR,Frontier Communications Parent Inc
GPN,GPN,Global Payments Inc
GDDY,GDDY,GoDaddy Inc
HUM,HUM,Humana Inc
MA,MA,Mastercard Inc
MELI,MELI,MercadoLibre Inc
META,META,Meta Platforms Inc
MSFT,MSFT,Microsoft Corp
NFLX,NFLX,Netflix Inc
PANW,PANW,Palo Alto Networks Inc
PYPL,PYPL,PayPal Holdings Inc
RH,RH,RH
CRM,CRM,Salesforce Inc
NOW,NOW,ServiceNow Inc
TMUS,TMUS,T-Mobile US Inc
TSLA,TSLA,Tesla Inc
UBER,UBER,Uber Technologies Inc
UNH,UNH,UnitedHealth Group Inc
V,V,Visa Inc
DIS,DIS,Walt Disney Co
WFC,WFC,Wells Fargo & Co
WSC,WSC,WillScot Mobile Mini Holdings Corp
ZEN,ZEN,Zendesk Inc
