Ticker,Yahoo,Name
TMO,TMO,THERMO FISHER SCIENTIFIC INC
RGEN,RGEN,REPLIGEN CORP
CTLT,CTLT,CATALENT INC
AZN,AZN,ASTRAZENECA PLC SPONS ADR
DHR,DHR,DANAHER CORP
BRKR,BRKR,BRUKER CORP
207940,207940.KS,SAMSUNG BIOLOGICS CO LTD
A,A,AGILENT TECHNOLOGIES INC
AVTR,AVTR,AVANTOR INC
BMY,BMY,BRISTOL MYERS SQUIBB CO
BIO,BIO,BIO RAD LABORATORIES A
MEDP,MEDP,MEDPACE HOLDINGS INC
REGN,REGN,REGENERON PHARMACEUTICALS
LONN,LONN.SW,LONZA GROUP AG REG
IQV,IQV,IQVIA HOLDINGS INC
CTVA,CTVA,CORTEVA INC
ICLR,ICLR,ICON PLC
CRL,CRL,CHARLES RIVER LABORATORIES
SRT3,SRT.MU,SARTORIUS AG VORZUG
NTLA,NTLA,INTELLIA THERAPEUTICS INC
VRTX,VRTX,VERTEX PHARMACEUTICALS INC
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT
BNTX,BNTX,BIONTECH SE ADR
GSK,GSK,GSK PLC SPON ADR
PKI,PKI,PERKINELMER INC
QGEN,QGEN,QIAGEN N.V.
NVDA,NVDA,NVIDIA CORP
MRNA,MRNA,MODERNA INC
EVT,EVT,EVOTEC SE
ILMN,ILMN,ILLUMINA INC
AZTA,AZTA,AZENTA INC
TECH,TECH,BIO TECHNE CORP
CDMO,CDMO,AVID BIOSERVICES INC
FMC,FMC,FMC CORP
KRYS,KRYS,KRYSTAL BIOTECH INC
DVAX,DVAX,DYNAVAX TECHNOLOGIES CORP
LH,LH,LABORATORY CRP OF AMER HLDGS
LGND,LGND,LIGAND PHARMACEUTICALS
FLGT,FLGT,FULGENT GENETICS INC
ONT,ONT.L,OXFORD NANOPORE TECHNOLOGIES
LLY,LLY,ELI LILLY + CO
VEEV,VEEV,VEEVA SYSTEMS INC CLASS A
UNH,UNH,UNITEDHEALTH GROUP INC
BEAM,BEAM,BEAM THERAPEUTICS INC
MRVI,MRVI,MARAVAI LIFESCIENCES HLDGS A
DOCS,DOCS,DOXIMITY INC CLASS A
DNAY,DNAY,CODEX DNA INC
VCYT,VCYT,VERACYTE INC
EDIT,EDIT,EDITAS MEDICINE INC
OLK,OLK,OLINK HOLDING AB   ADR
TSHA,TSHA,TAYSHA GENE THERAPIES INC
