ticker,yahoo_ticker,name
CTXS,CTXS,CITRIX SYSTEMS INC
CHKP,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES
PANW,PANW,PALO ALTO NETWORKS INC
JNPR,JNPR,JUNIPER NETWORKS INC
BAH,BAH,BOOZ ALLEN HAMILTON HOLDING CORP C
FTNT,FTNT,FORTINET INC
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC CLASS A
AKAM,AKAM,AKAMAI TECHNOLOGIES INC
VMW,VMW,VMWARE CLASS A INC
CACI,CACI,CACI INTERNATIONAL INC CLASS A
SAIL,SAIL,SAILPOINT TECHNOLOGIES HOLDINGS IN
CYBR,CYBR,CYBER ARK SOFTWARE LTD
TENB,TENB,TENABLE HOLDINGS INC
ZS,ZS,ZSCALER INC
MNDT,MNDT,MANDIANT INC
DOCU,DOCU,DOCUSIGN INC
MIME,MIME,MIMECAST LTD
SAIC,SAIC,SCIENCE APPLICATIONS INTERNATIONAL
QLYS,QLYS,QUALYS INC
OKTA,OKTA,OKTA INC CLASS A
RPD,RPD,RAPID7 INC
VRNS,VRNS,VARONIS SYSTEMS INC
BB,BB,BLACKBERRY LTD
ALRM,ALRM,ALARM.COM HOLDINGS INC
NETC,NETC,NETCOMPANY GROUP
MANT,MANT,MANTECH INTERNATIONAL CORP CLASS A
CALX,CALX,CALIX NETWORKS INC
TMV,TMV,TEAMVIEWER AG
YOU,YOU,CLEAR SECURE INC CLASS A
PING,PING,PING IDENTITY HOLDING CORP
MCRO,MCRO,MICRO FOCUS INTERNATIONAL PLC
RDWR,RDWR,RADWARE LTD
S,S,SENTINELONE INC CLASS A
ATEN,ATEN,A10 NETWORKS INC
EVBG,EVBG,EVERBRIDGE INC
ADTN,ADTN,ADTRAN INC
OSPN,OSPN,ONESPAN INC
KNBE,KNBE,KNOWBE4 INC CLASS A
CGNT,CGNT,COGNYTE SOFTWARE LTD
ABST,ABST,ABSOLUTE SOFTWARE CORP
TLS,TLS,TELOS CORPORATION CORP
ALLT,ALLT,ALLOT LTD
ARQQ,ARQQ,ARQIT QUANTUM INC
