Ticker,Yahoo,Name
TSLA,TSLA,TESLA INC
AAPL,AAPL,APPLE INC
NVDA,NVDA,NVIDIA CORP
ISRG,ISRG,INTUITIVE SURGICAL INC
SNPS,SNPS,SYNOPSYS INC
ASML,ASML,ASML HOLDING NV NY REG SHS
TSM,TSM,TAIWAN SEMICONDUCTOR SP ADR
DSG,DSGX,DESCARTES SYSTEMS GRP/THE
CDNS,CDNS,CADENCE DESIGN SYS INC
APH,APH,AMPHENOL CORP CL A
ENPH,ENPH,ENPHASE ENERGY INC
ENTG,ENTG,ENTEGRIS INC
DXCM,DXCM,DEXCOM INC
AMAT,AMAT,APPLIED MATERIALS INC
006400,006400.KS,SAMSUNG SDI CO LTD PFD
DSY,DSY.PA,DASSAULT SYSTEMES
6861,6861.T,KEYENCE CORP
KLAC,KLAC,KLA CORP
AXON,AXON,AXON ENTERPRISE INC
IDXX,IDXX,IDEXX LABORATORIES INC
PODD,PODD,INSULET CORP
ADI,ADI,ANALOG DEVICES INC
INSP,INSP,INSPIRE MEDICAL SYSTEMS INC
SITM,SITM,SITIME CORP
CSU,CNSWF,CONSTELLATION SOFTWARE INC
ZBRA,ZBRA,ZEBRA TECHNOLOGIES CORP CL A
TER,TER,TERADYNE INC
KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN
LRCX,LRCX,LAM RESEARCH CORP
ROP,ROP,ROPER TECHNOLOGIES INC
TXN,TXN,TEXAS INSTRUMENTS INC
SEDG,SEDG,SOLAREDGE TECHNOLOGIES INC
VMI,VMI,VALMONT INDUSTRIES
AMD,AMD,ADVANCED MICRO DEVICES
ASM,ASM,ASM INTERNATIONAL NV
ALTR,ALTR,ALTAIR ENGINEERING INC   A
AZTA,AZTA,AZENTA INC
ANSS,ANSS,ANSYS INC
IFX,IFX.DE,INFINEON TECHNOLOGIES AG
MRVL,MRVL,MARVELL TECHNOLOGY INC
PWR,PWR,QUANTA SERVICES INC
TEAM,TEAM,ATLASSIAN CORP PLC CLASS A
PTC,PTC,PTC INC
ETN,ETN,EATON CORP PLC
BKR,BKR,BAKER HUGHES CO
ADSK,ADSK,AUTODESK INC
HON,HON,HONEYWELL INTERNATIONAL INC
APTV,APTV,APTIV PLC
TEL,TEL,TE CONNECTIVITY LTD
NXPI,NXPI,NXP SEMICONDUCTORS NV
RMD,RMD,RESMED INC
SYK,SYK,STRYKER CORP
MCHP,MCHP,MICROCHIP TECHNOLOGY INC
6752,6752.T,PANASONIC HOLDINGS CORP
SIE,SIE.DE,SIEMENS AG REG
AGCO,AGCO,AGCO CORP
ASAN,ASAN,ASANA INC   CL A
CGNX,CGNX,COGNEX CORP
BSY,BSY,BENTLEY SYSTEMS INC CLASS B
RUN,RUN,SUNRUN INC
