ticker,yahoo_ticker,name
AAPL,AAPL,APPLE INC
MSFT,MSFT,MICROSOFT CORP
GOOGL,GOOGL,ALPHABET INC CLASS A
GOOG,GOOG,ALPHABET INC CLASS C
FB,META,META PLATFORMS INC CLASS A
META,META,META PLATFORMS INC CLASS A
NVDA,NVDA,NVIDIA CORP
AVGO,AVGO,BROADCOM INC
ADBE,ADBE,ADOBE INC
INTC,INTC,INTEL CORPORATION CORP
CRM,CRM,SALESFORCE INC
QCOM,QCOM,QUALCOMM INC
TXN,TXN,TEXAS INSTRUMENT INC
AMD,AMD,ADVANCED MICRO DEVICES INC
IBM,IBM,INTERNATIONAL BUSINESS MACHINES CO
ORCL,ORCL,ORACLE CORP
INTU,INTU,INTUIT INC
AMAT,AMAT,APPLIED MATERIAL INC
NOW,NOW,SERVICENOW INC
ADI,ADI,ANALOG DEVICES INC
MU,MU,MICRON TECHNOLOGY INC
LRCX,LRCX,LAM RESEARCH CORP
PANW,PANW,PALO ALTO NETWORKS INC
KLAC,KLAC,KLA CORP
MRVL,MRVL,MARVELL TECHNOLOGY INC
NXPI,NXPI,NXP SEMICONDUCTORS NV
ROP,ROP,ROPER TECHNOLOGIES INC
ADSK,ADSK,AUTODESK INC
SNPS,SNPS,SYNOPSYS INC
APH,APH,AMPHENOL CORP CLASS A
HPQ,HPQ,HP INC
CDNS,CDNS,CADENCE DESIGN SYSTEMS INC
TWTR,TWTR,TWITTER INC
CTSH,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR
FTNT,FTNT,FORTINET INC
WDAY,WDAY,WORKDAY INC CLASS A
MCHP,MCHP,MICROCHIP TECHNOLOGY INC
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC CLASS A
SNOW,SNOW,SNOWFLAKE CLASS A
TEAM,TEAM,ATLASSIAN PLC CLASS A
DDOG,DDOG,DATADOG INC CLASS A
GLW,GLW,CORNING INC
ANSS,ANSS,ANSYS INC
ON,ON,ON SEMICONDUCTOR CORP
VMW,VMW,VMWARE CLASS A INC
CDW,CDW,CDW CORP
ZM,ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS
MTCH,MTCH,MATCH GROUP INC
IT,IT,GARTNER INC
HPE,HPE,HEWLETT PACKARD ENTERPRISE
MPWR,MPWR,MONOLITHIC POWER SYSTEMS INC
NET,NET,CLOUDFLARE INC CLASS A
MDB,MDB,MONGODB INC CLASS A
TWLO,TWLO,TWILIO INC CLASS A
WDC,WDC,WESTERN DIGITAL CORP
EPAM,EPAM,EPAM SYSTEMS INC
SPLK,SPLK,SPLUNK INC
SWKS,SWKS,SKYWORKS SOLUTIONS INC
TER,TER,TERADYNE INC
VRSN,VRSN,VERISIGN INC
PLTR,PLTR,PALANTIR TECHNOLOGIES INC CLASS A
NTAP,NTAP,NETAPP INC
AKAM,AKAM,AKAMAI TECHNOLOGIES INC
DOCU,DOCU,DOCUSIGN INC
ENTG,ENTG,ENTEGRIS INC
HUBS,HUBS,HUBSPOT INC
TYL,TYL,TYLER TECHNOLOGIES INC
ZS,ZS,ZSCALER INC
PAYC,PAYC,PAYCOM SOFTWARE INC
LDOS,LDOS,LEIDOS HOLDINGS INC
ZEN,ZEN,ZENDESK INC
SSNC,SSNC,SS AND C TECHNOLOGIES HOLDINGS INC
OKTA,OKTA,OKTA INC CLASS A
NLOK,NLOK,NORTONLIFELOCK INC
GDDY,GDDY,GODADDY INC CLASS A
PINS,PINS,PINTEREST INC CLASS A
DELL,DELL,DELL TECHNOLOGIES INC CLASS C
CTXS,CTXS,CITRIX SYSTEMS INC
PTC,PTC,PTC INC
QRVO,QRVO,QORVO INC
AZPN,AZPN,ASPEN TECHNOLOGY INC
BKI,BKI,BLACK KNIGHT INC
DASH,DASH,DOORDASH INC CLASS A
FFIV,FFIV,F5 INC
WOLF,WOLF,WOLFSPEED INC
DOX,DOX,AMDOCS LTD
