Ticker,Yahoo,Name
MOONADEA,ADEA,ADEAV
MOONLIDR,LIDR,AEye Inc
MOONAEVA,AEVA,AEVA TECHNOLOGIES INC
MOONARCT,ARCT,Arcturus Therapeutics Holdings Inc
MOONASAN,ASAN,Asana Inc
MOONATRA,ATRA,ATARA BIOTHERAPEUTICS IN USD 0.0001
MOONAUR,AUR,Aurora Innovation Inc
MOONRNA,RNA,AVIDITY BIOSCIENCES INC
MOONBHIL,BHIL,Benson Hill Inc
MOONBBIO,BBIO,Bridgebio Pharma Inc
MOONBFLY,BFLY,BUTTERFLY NETWORK INC
MOONAI,AI,C3.AI INC-A
MOONDM,DM,DESKTOP METAL INC-A
MOONFSLY,FSLY,Fastly Inc
MOONFSR,FSR,FISKER INC
MOONDNA,DNA,GINKGO BIOWORKS HOLDINGS INC
MOONHYLN,HYLN,HYLIION HOLDINGS CORP
MOONHYZN,HYZN,HYZON MOTORS INC (CUSIP: 44951Y102)
MOONINDI,INDI,INDIE SEMICONDUCTOR INC
MOONINO,INO,Inovio Pharmaceuticals Inc
MOONNTLA,NTLA,Intellia Therapeutics Inc
MOONNVTA,NVTA,INVITAE CORP USD 0.0001
MOONJMIA,JMIA,Jumia Technologies AG
MOONLTCH,LTCH,LATCH INC
MOONLOCL,LOCL,Local Bounti Corp
MOONMMAT,MMAT,META MATERIALS INC
MOONMVIS,MVIS,MICROVISION INC DEL USD 1.0
MOONNNDM,NNDM,NANO DIMENSION LTD USD 1.0 ADR
MOONOKTA,OKTA,Okta Inc
MOONONDS,ONDS,ONDAS HOLDINGS INC
MOONOUST,OUST,OUSTER INC
MOONPEAR,PEAR,PEAR THERAPEUTICS INC
MOONPL,PL,Planet Labs PBC
MOONRBLX,RBLX,ROBLOX Corp
MOONSTRC,STRC,Sarcos Technology and Robotics Corp
MOONS,S,SentinelOne Inc
MOONSQSP,SQSP,Squarespace Inc
MOONTSP,TSP,TUSIMPLE HOLDINGS INC - A
MOONPATH,PATH,UiPath Inc
MOONU,U,Unity Software Inc
MOONVLDR,VLDR,VELODYNE LIDAR INC
MOONVMEO,VMEO,Vimeo Inc
MOONSPCE,SPCE,VIRGIN GALACTIC HOLDINGS INC
MOONVUZI,VUZI,Vuzix Corp
MOONXOS,XOS,XOS INC
MOONYELP,YELP,YELP INC USD 0.000001
MOONAMBA,AMBA,Ambarella Inc
MOONROIV,ROIV,ROIVANT SCIENCES LTD
MOONINVZ,INVZ,INNOVIZ TECHNOLOGIES LTD
MOONCVAC,CVAC,CureVac NV
