Ticker,Yahoo,Name
LUG CN,LUG.TO,Lundin Gold Inc.
KOZAL TI,KOZAL.IS,Koza Altin Isletmeleri AS
PRU AU,PRU.AX,Perseus Mining Ltd.
SA,SA,Seabridge Gold Inc.
OGC CN,OGC.TO,OceanaGold Corp.
EQX CN,EQX.TO,Equinox Gold Corp.
WDO CN,WDO.TO,Wesdome Gold Mines Ltd.
OSK CN,OSK.TO,Osisko Mining Inc.
EDR CN,EDR.TO,Endeavour Silver Corp.
BGL AU,BGL.AX,Bellevue Gold Ltd.
WAF AU,WAF.AX,West African Resources Ltd.
MCR AU,MCR.AX,Mincor Resources NL
PAF LN,PAF.L,Pan African Resources PLC
VGCX CN,VGCX.TO,Victoria Gold Corp.
MUX,MUX,McEwen Mining Inc.
SOLG LN,SOLG.L,SolGold PLC
HOC LN,HOC.L,Hochschild Mining PLC
RMS AU,RMS.AX,Ramelius Resources Ltd.
WGX AU,WGX.AX,Westgold Resources Ltd.
AMI AU,AMI.AX,Aurelia Metals Ltd.
LLL AU,LLL.AX,Leo Lithium Ltd.
NG,NG,Novagold Resources Inc.
FFX AU,FFX.AX,Firefinch Ltd.
CDE,CDE,Coeur Mining Inc.
CEY LN,CEY.L,Centamin PLC
DEG AU,DEG.AX,De Grey Mining Ltd.
KNT CN,KNT.TO,K92 Mining Inc.
SBB CN,SBB.TO,Sabina Gold & Silver Corp.
GOR AU,GOR.AX,Gold Road Resources Ltd.
OLA CN,OLA.TO,Orla Mining Ltd.
CMM AU,CMM.AX,Capricorn Metals Ltd.
DPM CN,DPM.TO,Dundee Precious Metals Inc.
ELD CN,ELD.TO,Eldorado Gold Corp.
RRL AU,RRL.AX,Regis Resources Ltd.
NGD CN,NGD.TO,New Gold Inc.
SLR AU,SLR.AX,Silver Lake Resources Ltd.
TXG CN,TXG.TO,Torex Gold Resources Inc.
GGP LN,GGP.L,Greatland Gold PLC
SKE CN,SKE.TO,Skeena Resources Ltd.
KRR CN,KRR.TO,Karora Resources Inc.
SBM AU,SBM.AX,St Barbara Ltd.
RED AU,RED.AX,Red 5 Ltd.
AR CN,AR.TO,Argonaut Gold Inc.
