Ticker,Yahoo,Name
NEM,NEM,Newmont Corp.
ABX CN,ABX.TO,Barrick Gold Corp.
FNV CN,FNV.TO,Franco-Nevada Corp.
AEM CN,AEM.TO,Agnico Eagle Mines Ltd.
WPM CN,WPM.TO,Wheaton Precious Metals Corp.
SSRM CN,SSRM.TO,SSR Mining Inc.
KNT CN,KNT.TO,K92 Mining Inc.
BTO CN,BTO.TO,B2Gold Corp.
AGI CN,AGI.TO,Alamos Gold Inc.
YRI CN,YRI.TO,Yamana Gold Inc.
CG CN,CG.TO,Centerra Gold Inc.
RGLD,RGLD,Royal Gold Inc.
TXG CN,TXG.TO,Torex Gold Resources Inc.
DPM CN,DPM.TO,Dundee Precious Metals Inc.
SSL CN,SSL.TO,Sandstorm Gold Ltd.
HMY,HMY,Harmony Gold Mining Co. Ltd.
GFI,GFI,Gold Fields Ltd.
K CN,K.TO,Kinross Gold Corp.
ELD CN,ELD.TO,Eldorado Gold Corp.
OR CN,OR.TO,Osisko Gold Royalties Ltd.
WDO CN,WDO.TO,Wesdome Gold Mines Ltd.
OGC CN,OGC.TO,OceanaGold Corp.
NG CN,NG.TO,Novagold Resources Inc.
EQX CN,EQX.TO,Equinox Gold Corp.
HL,HL,Hecla Mining Co.
SEA CN,SEA.TO,Seabridge Gold Inc.
AU,AU,AngloGold Ashanti Ltd.
CDE,CDE,Coeur Mining Inc.
EDV CN,EDV.TO,Endeavour Mining PLC
OSK CN,OSK.TO,Osisko Mining Inc.
NGD CN,NGD.TO,New Gold Inc.
IMG CN,IMG.TO,IAMGOLD Corp.
