ticker,yahoo_ticker,name
CVGW,CVGW,CALAVO GROWERS INC
JJSF,JJSF,J & J SNACK FOODS CORP
WOR,WOR,WORTHINGTON INDUSTRIES
PETS,PETS,PETMED EXPRESS INC
ANDE,ANDE,ANDERSONS INC/THE
LANC,LANC,LANCASTER COLONY CORP
BMI,BMI,BADGER METER INC
PLOW,PLOW,DOUGLAS DYNAMICS INC
MSEX,MSEX,MIDDLESEX WATER CO
PFC,PFC,PREMIER FINANCIAL CORP
BCPC,BCPC,BALCHEM CORP
ASB,ASB,ASSOCIATED BANC-CORP
SJW,SJW,SJW GROUP
FELE,FELE,FRANKLIN ELECTRIC CO INC
LBAI,LBAI,LAKELAND BANCORP INC
CWT,CWT,CALIFORNIA WATER SERVICE GRP
AWR,AWR,AMERICAN STATES WATER CO
SASR,SASR,SANDY SPRING BANCORP INC
LMAT,LMAT,LEMAITRE VASCULAR INC
POR,POR,PORTLAND GENERAL ELECTRIC CO
STAG,STAG,STAG INDUSTRIAL INC
AUB,AUB,ATLANTIC UNION BANKSHARES CO
NWN,NWN,NORTHWEST NATURAL HOLDING CO
WDFC,WDFC,WD-40 CO
ATRI,ATRI,ATRION CORPORATION
MATW,MATW,MATTHEWS INTL CORP-CLASS A
ENSG,ENSG,ENSIGN GROUP INC/THE
SXI,SXI,STANDEX INTERNATIONAL CORP
TRN,TRN,TRINITY INDUSTRIES INC
FULT,FULT,FULTON FINANCIAL CORP
AVA,AVA,AVISTA CORP
WASH,WASH,WASHINGTON TRUST BANCORP
CBU,CBU,COMMUNITY BANK SYSTEM INC
NWBI,NWBI,NORTHWEST BANCSHARES INC
FIBK,FIBK,FIRST INTERSTATE BANCSYS-A
AGM,AGM,FEDERAL AGRIC MTG CORP-CL C
SFNC,SFNC,SIMMONS FIRST NATL CORP-CL A
FRME,FRME,FIRST MERCHANTS CORP
HMN,HMN,HORACE MANN EDUCATORS
CPK,CPK,CHESAPEAKE UTILITIES CORP
HI,HI,HILLENBRAND INC
INDB,INDB,INDEPENDENT BANK CORP/MA
WSBC,WSBC,WESBANCO INC
LKFN,LKFN,LAKELAND FINANCIAL CORP
TR,TR,TOOTSIE ROLL INDS
ALE,ALE,ALLETE INC
KWR,KWR,QUAKER CHEMICAL CORPORATION
HNI,HNI,HNI CORP
TMP,TMP,TOMPKINS FINANCIAL CORP
LNN,LNN,LINDSAY CORP
GATX,GATX,GATX CORP
APOG,APOG,APOGEE ENTERPRISES INC
TRNO,TRNO,TERRENO REALTY CORP
NWE,NWE,NORTHWESTERN CORP
NUS,NUS,NU SKIN ENTERPRISES INC - A
MTRN,MTRN,MATERION CORP
SBSI,SBSI,SOUTHSIDE BANCSHARES INC
HOMB,HOMB,HOME BANCSHARES INC
AVNT,AVNT,AVIENT CORP
NJR,NJR,NEW JERSEY RESOURCES CORP
IBOC,IBOC,INTERNATIONAL BANCSHARES CRP
ABR,ABR,ARBOR REALTY TRUST INC
CNS,CNS,COHEN & STEERS INC
KW,KW,KENNEDY-WILSON HOLDINGS INC
SPTN,SPTN,SPARTANNASH CO
BRC,BRC,BRADY CORPORATION - CL A
UBSI,UBSI,UNITED BANKSHARES INC
ABM,ABM,ABM INDUSTRIES INC
SJI,SJI,SOUTH JERSEY INDUSTRIES
MGRC,MGRC,MCGRATH RENTCORP
KALU,KALU,KAISER ALUMINUM CORP
GFF,GFF,GRIFFON CORP
UVV,UVV,UNIVERSAL CORP/VA
PNM,PNM,PNM RESOURCES INC
SCL,SCL,STEPAN CO
WLY,WLY,WILEY (JOHN) & SONS-CLASS A
CHCO,CHCO,CITY HOLDING CO
FUL,FUL,H.B. FULLER CO.
SXT,SXT,SENSIENT TECHNOLOGIES CORP
TDS,TDS,TELEPHONE AND DATA SYSTEMS
SR,SR,SPIRE INC
BKH,BKH,BLACK HILLS CORP
AIT,AIT,APPLIED INDUSTRIAL TECH INC
HCSG,HCSG,HEALTHCARE SERVICES GROUP
BANF,BANF,BANCFIRST CORP
NP,NP,NEENAH INC
NSP,NSP,INSPERITY INC
SWX,SWX,SOUTHWEST GAS HOLDINGS INC
