ticker,yahoo_ticker,name
AVGO,AVGO,BROADCOM INC
NVDA,NVDA,NVIDIA CORP
AMD,AMD,ADVANCED MICRO DEVICES INC
INTC,INTC,INTEL CORPORATION CORP
QCOM,QCOM,QUALCOMM INC
TXN,TXN,TEXAS INSTRUMENT INC
ADI,ADI,ANALOG DEVICES INC
MCHP,MCHP,MICROCHIP TECHNOLOGY INC
KLAC,KLAC,KLA CORP
NXPI,NXPI,NXP SEMICONDUCTORS NV
LRCX,LRCX,LAM RESEARCH CORP
MRVL,MRVL,MARVELL TECHNOLOGY INC
AMAT,AMAT,APPLIED MATERIAL INC
MU,MU,MICRON TECHNOLOGY INC
TSM,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING
ASML,ASML,ASML HOLDING ADR REPRESENTING NV
ON,ON,ON SEMICONDUCTOR CORP
MPWR,MPWR,MONOLITHIC POWER SYSTEMS INC
TER,TER,TERADYNE INC
SWKS,SWKS,SKYWORKS SOLUTIONS INC
ENTG,ENTG,ENTEGRIS INC
QRVO,QRVO,QORVO INC
WOLF,WOLF,WOLFSPEED INC
STM,STM,STMICROELECTRONICS ADR NV
LSCC,LSCC,LATTICE SEMICONDUCTOR CORP
MKSI,MKSI,MKS INSTRUMENTS INC
SYNA,SYNA,SYNAPTICS INC
UMC,UMC,UNITED MICRO ELECTRONICS ADR REP
OLED,OLED,UNIVERSAL DISPLAY CORP
ASX,ASX,ASE TECHNOLOGY HOLDING ADR REPRESE
