ticker,yahoo_ticker,name
UA,UA,UNDER ARMOUR INC-CLASS C
UAA,UAA,UNDER ARMOUR INC-CLASS A
NWS,NWS,NEWS CORP - CLASS B
IVZ,IVZ,INVESCO LTD
ALK,ALK,ALASKA AIR GROUP INC
VNO,VNO,VORNADO REALTY TRUST
PENN,PENN,PENN NATIONAL GAMING INC
DISH,DISH,DISH NETWORK CORP-A
PVH,PVH,PVH CORP
RL,RL,RALPH LAUREN CORP
FOX,FOX,FOX CORP - CLASS B
HII,HII,HUNTINGTON INGALLS INDUSTRIE
XRAY,XRAY,DENTSPLY SIRONA INC
OGN,OGN,ORGANON & CO
NWL,NWL,NEWELL BRANDS INC
PNR,PNR,PENTAIR PLC
ZION,ZION,ZIONS BANCORP NA
MHK,MHK,MOHAWK INDUSTRIES INC
FRT,FRT,FEDERAL REALTY INVS TRUST
PNW,PNW,PINNACLE WEST CAPITAL
TPR,TPR,TAPESTRY INC
AOS,AOS,SMITH (A.O.) CORP
ROL,ROL,ROLLINS INC
NCLH,NCLH,NORWEGIAN CRUISE LINE HOLDIN
BEN,BEN,FRANKLIN RESOURCES INC
WYNN,WYNN,WYNN RESORTS LTD
NWSA,NWSA,NEWS CORP - CLASS A
DVA,DVA,DAVITA INC
RE,RE,EVEREST RE GROUP LTD
BIO,BIO,BIO-RAD LABORATORIES-A
FOXA,FOXA,FOX CORP - CLASS A
ETSY,ETSY,ETSY INC
AIZ,AIZ,ASSURANT INC
CMA,CMA,COMERICA INC
RHI,RHI,ROBERT HALF INTL INC
PHM,PHM,PULTEGROUP INC
REG,REG,REGENCY CENTERS CORP
ALLE,ALLE,ALLEGION PLC
MKTX,MKTX,MARKETAXESS HOLDINGS INC
NRG,NRG,NRG ENERGY INC
LUMN,LUMN,LUMEN TECHNOLOGIES INC
CPB,CPB,CAMPBELL SOUP CO
TAP,TAP,MOLSON COORS BEVERAGE CO - B
SEE,SEE,SEALED AIR CORP
FBHS,FBHS,FORTUNE BRANDS HOME & SECURI
UHS,UHS,UNIVERSAL HEALTH SERVICES-B
NLSN,NLSN,NIELSEN HOLDINGS PLC
LNC,LNC,LINCOLN NATIONAL CORP
GL,GL,GLOBE LIFE INC
BWA,BWA,BORGWARNER INC
LW,LW,LAMB WESTON HOLDINGS INC
WRK,WRK,WESTROCK CO
AES,AES,AES CORP
EMN,EMN,EASTMAN CHEMICAL CO
BRO,BRO,BROWN & BROWN INC
LKQ,LKQ,LKQ CORP
BBWI,BBWI,BATH & BODY WORKS INC
TTWO,TTWO,TAKE-TWO INTERACTIVE SOFTWRE
HWM,HWM,HOWMET AEROSPACE INC
CCL,CCL,CARNIVAL CORP
AAP,AAP,ADVANCE AUTO PARTS INC
IPG,IPG,INTERPUBLIC GROUP OF COS INC
MAS,MAS,MASCO CORP
CZR,CZR,CAESARS ENTERTAINMENT INC
TFX,TFX,TELEFLEX INC
L,L,LOEWS CORP
LYV,LYV,LIVE NATION ENTERTAINMENT IN
DPZ,DPZ,DOMINO'S PIZZA INC
NVR,NVR,NVR INC
