ticker,yahoo_ticker,name
CYRX,CYRX,CRYOPORT INC
ARCB,ARCB,ARCBEST CORP
FWRD,FWRD,FORWARD AIR CORP
WERN,WERN,WERNER ENTERPRISES INC
RMG,RMG.L,ROYAL MAIL PLC
MATX,MATX,MATSON INC
ZIM,ZIM,ZIM INTEGRATED SHIPPING SERV
AZJ,AZJ.AX,AURIZON HOLDINGS LTD
XPO,XPO,XPO LOGISTICS INC
SAIA,SAIA,SAIA INC
LSTR,LSTR,LANDSTAR SYSTEM INC
TFII,TFII,TFI INTERNATIONAL INC
GXO,GXO,GXO LOGISTICS INC
KNX,KNX,KNIGHT-SWIFT TRANSPORTATION
GET,GET.PA,GETLINK SE
DSV,DSV.CO,DSV A/S
ODFL,ODFL,OLD DOMINION FREIGHT LINE
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC
EXPD,EXPD,EXPEDITORS INTL WASH INC
FDX,FDX,FEDEX CORP
UPS,UPS,UNITED PARCEL SERVICE-CL B
UNP,UNP,UNION PACIFIC CORP
CSX,CSX,CSX CORP
AMS,AMS.MC,AMADEUS IT GROUP SA
CP,CP,CANADIAN PACIFIC RAILWAY LTD
BXB,BXB.AX,BRAMBLES LTD
DPW,DPW.DE,DEUTSCHE POST AG_REG
KNIN,KNIN.SW,KUEHNE + NAGEL INTL AG-REG
IDS,IDS.L,INTERNATIONAL DISTRIBUTIONS
