ticker,yahoo_ticker,name
PETS,PETS,PETMED EXPRESS INC
INTU,INTU,INTUIT INC
NATI,NATI,NATIONAL INSTRUMENTS CORP
WU,WU,WESTERN UNION CO
CASS,CASS,CASS INFORMATION SYSTEMS INC
MSI,MSI,MOTOROLA SOLUTIONS INC
SWKS,SWKS,SKYWORKS SOLUTIONS INC
CSGS,CSGS,CSG SYSTEMS INTL INC
PAYX,PAYX,PAYCHEX INC
ORCL,ORCL,ORACLE CORP
BMI,BMI,BADGER METER INC
ACN,ACN,ACCENTURE PLC-CL A
BR,BR,BROADRIDGE FINANCIAL SOLUTIO
DLB,DLB,DOLBY LABORATORIES INC-CL A
JKHY,JKHY,JACK HENRY & ASSOCIATES INC
INTC,INTC,INTEL CORP
NTAP,NTAP,NETAPP INC
CSCO,CSCO,CISCO SYSTEMS INC
TXN,TXN,TEXAS INSTRUMENTS INC
ADP,ADP,AUTOMATIC DATA PROCESSING
V,V,VISA INC-CLASS A SHARES
HPQ,HPQ,HP INC
AAPL,AAPL,APPLE INC
CDW,CDW,CDW CORP/DE
MA,MA,MASTERCARD INC - A
MSFT,MSFT,MICROSOFT CORP
KLAC,KLAC,KLA CORP
ADI,ADI,ANALOG DEVICES INC
APH,APH,AMPHENOL CORP-CL A
AVGO,AVGO,BROADCOM INC
MCHP,MCHP,MICROCHIP TECHNOLOGY INC
POWI,POWI,POWER INTEGRATIONS INC
ATVI,ATVI,ACTIVISION BLIZZARD INC
IBM,IBM,INTL BUSINESS MACHINES CORP
LRCX,LRCX,LAM RESEARCH CORP
QCOM,QCOM,QUALCOMM INC
TEL,TEL,TE CONNECTIVITY LTD
GLW,GLW,CORNING INC
LFUS,LFUS,LITTELFUSE INC
AVT,AVT,AVNET INC
