ticker,yahoo_ticker,name
ADBE,ADBE,ADOBE INC
AMD,AMD,ADVANCED MICRO DEVICES
AKAM,AKAM,AKAMAI TECHNOLOGIES INC
APH,APH,AMPHENOL CORP-CL A
ADI,ADI,ANALOG DEVICES INC
ANSS,ANSS,ANSYS INC
AAPL,AAPL,APPLE INC
AMAT,AMAT,APPLIED MATERIALS INC
ANET,ANET,ARISTA NETWORKS INC
ADSK,ADSK,AUTODESK INC
ADP,ADP,AUTOMATIC DATA PROCESSING
BR,BR,BROADRIDGE FINANCIAL SOLUTIO
AVGO,AVGO,BROADCOM INC
CDW,CDW,CDW CORP/DE
CDNS,CDNS,CADENCE DESIGN SYS INC
CDAY,CDAY,CERIDIAN HCM HOLDING INC
CSCO,CSCO,CISCO SYSTEMS INC
CTXS,CTXS,CITRIX SYSTEMS INC
CTSH,CTSH,COGNIZANT TECH SOLUTIONS-A
GLW,GLW,CORNING INC
DXC,DXC,DXC TECHNOLOGY CO
ENPH,ENPH,ENPHASE ENERGY INC
EPAM,EPAM,EPAM SYSTEMS INC
FFIV,FFIV,F5 INC
FIS,FIS,FIDELITY NATIONAL INFO SERV
FISV,FISV,FISERV INC
FLT,FLT,FLEETCOR TECHNOLOGIES INC
FTNT,FTNT,FORTINET INC
IT,IT,GARTNER INC
GPN,GPN,GLOBAL PAYMENTS INC
HPQ,HPQ,HP INC
JKHY,JKHY,JACK HENRY & ASSOCIATES INC
HPE,HPE,HEWLETT PACKARD ENTERPRISE
IPGP,IPGP,IPG PHOTONICS CORP
INTC,INTC,INTEL CORP
IBM,IBM,INTL BUSINESS MACHINES CORP
INTU,INTU,INTUIT INC
JNPR,JNPR,JUNIPER NETWORKS INC
KLAC,KLAC,KLA CORP
KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN
LRCX,LRCX,LAM RESEARCH CORP
MA,MA,MASTERCARD INC - A
MSFT,MSFT,MICROSOFT CORP
MCHP,MCHP,MICROCHIP TECHNOLOGY INC
MU,MU,MICRON TECHNOLOGY INC
MPWR,MPWR,MONOLITHIC POWER SYSTEMS INC
MSI,MSI,MOTOROLA SOLUTIONS INC
NTAP,NTAP,NETAPP INC
NLOK,NLOK,NORTONLIFELOCK INC
NVDA,NVDA,NVIDIA CORP
ORCL,ORCL,ORACLE CORP
PTC,PTC,PTC INC
PAYX,PAYX,PAYCHEX INC
PAYC,PAYC,PAYCOM SOFTWARE INC
PYPL,PYPL,PAYPAL HOLDINGS INC
QRVO,QRVO,QORVO INC
QCOM,QCOM,QUALCOMM INC
ROP,ROP,ROPER TECHNOLOGIES INC
CRM,CRM,SALESFORCE INC
NOW,NOW,SERVICENOW INC
SWKS,SWKS,SKYWORKS SOLUTIONS INC
SEDG,SEDG,SOLAREDGE TECHNOLOGIES INC
SNPS,SNPS,SYNOPSYS INC
TDY,TDY,TELEDYNE TECHNOLOGIES INC
TER,TER,TERADYNE INC
TXN,TXN,TEXAS INSTRUMENTS INC
TRMB,TRMB,TRIMBLE INC
TYL,TYL,TYLER TECHNOLOGIES INC
VRSN,VRSN,VERISIGN INC
V,V,VISA INC-CLASS A SHARES
WDC,WDC,WESTERN DIGITAL CORP
ZBRA,ZBRA,ZEBRA TECHNOLOGIES CORP-CL A
ACN,ACN,ACCENTURE PLC-CL A
STX,STX,SEAGATE TECHNOLOGY HOLDINGS
TEL,TEL,TE CONNECTIVITY LTD
NXPI,NXPI,NXP SEMICONDUCTORS NV
