ticker,yahoo_ticker,name
KOPN,KOPN,KOPIN CORP
AKTS,AKTS,AKOUSTIS TECHNOLOGIES INC
MMAT,MMAT,META MATERIALS INC
VIEW,VIEW,VIEW INC
NEO,NEO,NEO PERFORMANCE MATERIALS IN
VREX,VREX,VAREX IMAGING CORP
MTRN,MTRN,MATERION CORP
OLED,OLED,UNIVERSAL DISPLAY CORP
PPG,PPG,PPG INDUSTRIES INC
AMAT,AMAT,APPLIED MATERIALS INC
AXTA,AXTA,AXALTA COATING SYSTEMS LTD
CSTM,CSTM,CONSTELLIUM SE
SHW,SHW,SHERWIN-WILLIAMS CO/THE
NGVT,NGVT,INGEVITY CORP
RPM,RPM,RPM INTERNATIONAL INC
HXL,HXL,HEXCEL CORP
CBT,CBT,CABOT CORP
ENTG,ENTG,ENTEGRIS INC
HUN,HUN,HUNTSMAN CORP
