ticker,yahoo_ticker,name
GTH,GTH,GENETRON HOLDINGS LTD-ADR
LASR,LASR,NLIGHT INC
121600,121600.KQ,ADVANCED NANO PRODUCTS CO LT
NNDM,NNDM,NANO DIMENSION LTD - ADR
NPTN,NPTN,NEOPHOTONICS CORP
NVAX,NVAX,NOVAVAX INC
MRNA,MRNA,MODERNA INC
VECO,VECO,VEECO INSTRUMENTS INC
UCTT,UCTT,ULTRA CLEAN HOLDINGS INC
ASML,ASML,ASML HOLDING NV
BRKR,BRKR,BRUKER CORP
A,A,AGILENT TECHNOLOGIES INC
TSM,TSM,TAIWAN SEMICONDUCTOR-SP ADR
AMD,AMD,ADVANCED MICRO DEVICES
ENTG,ENTG,ENTEGRIS INC
AMAT,AMAT,APPLIED MATERIALS INC
ACLS,ACLS,AXCELIS TECHNOLOGIES INC
LRCX,LRCX,LAM RESEARCH CORP
KLAC,KLAC,KLA CORP
INTC,INTC,INTEL CORP
ONTO,ONTO,ONTO INNOVATION INC
TSEM,TSEM,TOWER SEMICONDUCTOR LTD
MMAT,MMAT,META MATERIALS Inc
ACMR,ACMR,ACM RESEARCH INC
PLAB,PLAB,PHOTRONICS INC
CBT,CBT,CABOT CORP
