ticker,yahoo_ticker,name
EMBC,EMBC,EMBECTA CORP
SWK,SWK,STANLEY BLACK & DECKER INC
TNC,TNC,TENNANT CO
LANC,LANC,LANCASTER COLONY CORP
MSEX,MSEX,MIDDLESEX WATER CO
T,T,AT&T INC
SJW,SJW,SJW GROUP
SPGI,SPGI,S&P GLOBAL INC
ORI,ORI,OLD REPUBLIC INTL CORP
LOW,LOW,LOWE'S COS INC
CWT,CWT,CALIFORNIA WATER SERVICE GRP
AWR,AWR,AMERICAN STATES WATER CO
MSA,MSA,MSA SAFETY INC
NWN,NWN,NORTHWEST NATURAL HOLDING CO
DOV,DOV,DOVER CORP
BEN,BEN,FRANKLIN RESOURCES INC
WBA,WBA,WALGREENS BOOTS ALLIANCE INC
NDSN,NDSN,NORDSON CORP
TR,TR,TOOTSIE ROLL INDS
ABT,ABT,ABBOTT LABORATORIES
BDX,BDX,BECTON DICKINSON AND CO
EMR,EMR,EMERSON ELECTRIC CO
FRT,FRT,FEDERAL REALTY INVS TRUST
MDT,MDT,MEDTRONIC PLC
SYY,SYY,SYSCO CORP
AFL,AFL,AFLAC INC
GWW,GWW,WW GRAINGER INC
BRC,BRC,BRADY CORPORATION - CL A
NUE,NUE,NUCOR CORP
UBSI,UBSI,UNITED BANKSHARES INC
ABM,ABM,ABM INDUSTRIES INC
ITW,ITW,ILLINOIS TOOL WORKS
LEG,LEG,LEGGETT & PLATT INC
CL,CL,COLGATE-PALMOLIVE CO
HRL,HRL,HORMEL FOODS CORP
TGT,TGT,TARGET CORP
UVV,UVV,UNIVERSAL CORP/VA
SCL,SCL,STEPAN CO
FUL,FUL,H.B. FULLER CO.
PG,PG,PROCTER & GAMBLE CO/THE
CBSH,CBSH,COMMERCE BANCSHARES INC
MMM,MMM,3M CO
PEP,PEP,PEPSICO INC
CINF,CINF,CINCINNATI FINANCIAL CORP
PPG,PPG,PPG INDUSTRIES INC
RPM,RPM,RPM INTERNATIONAL INC
KO,KO,COCA-COLA CO/THE
APD,APD,AIR PRODUCTS & CHEMICALS INC
ADP,ADP,AUTOMATIC DATA PROCESSING
JNJ,JNJ,JOHNSON & JOHNSON
BKH,BKH,BLACK HILLS CORP
WMT,WMT,WALMART INC
MGEE,MGEE,MGE ENERGY INC
ED,ED,CONSOLIDATED EDISON INC
TDS,TDS,TELEPHONE AND DATA SYSTEMS
SHW,SHW,SHERWIN-WILLIAMS CO/THE
GPC,GPC,GENUINE PARTS CO
SON,SON,SONOCO PRODUCTS CO
KMB,KMB,KIMBERLY-CLARK CORP
CLX,CLX,CLOROX COMPANY
MCD,MCD,MCDONALD'S CORP
NFG,NFG,NATIONAL FUEL GAS CO
ADM,ADM,ARCHER-DANIELS-MIDLAND CO
RLI,RLI,RLI CORP
BF/B,BF-B,BROWN-FORMAN CORP-CLASS B
CSL,CSL,CARLISLE COS INC
