ticker,yahoo_ticker,name
RWAY,RWAY,RAI WAY SPA
ACE,ACE.MI,ACEA SPA
HEP,HEP,HOLLY ENERGY PARTNERS LP
UTL,UTL,UNITIL CORP
HESM,HESM,HESS MIDSTREAM LP - CLASS A
WTE,WTE.TO,WESTSHORE TERMINALS INVESTME
GEL,GEL,GENESIS ENERGY L.P.
NS,NS,NUSTAR ENERGY LP
NWN,NWN,NORTHWEST NATURAL HOLDING CO
SHLX,SHLX,SHELL MIDSTREAM PARTNERS LP
SJW,SJW,SJW GROUP
CPK,CPK,CHESAPEAKE UTILITIES CORP
OMAB,OMAB,GRUPO AEROPORTUARIO CEN-ADR
CEQP,CEQP,CRESTWOOD EQUITY PARTNERS LP
FRA,FRA,FRAPORT AG FRANKFURT AIRPORT
PAGP,PAGP,PLAINS GP HOLDINGS LP-CL A
CWT,CWT,CALIFORNIA WATER SERVICE GRP
9533,THOGF,TOHO GAS CO LTD
AWR,AWR,AMERICAN STATES WATER CO
BIPC,BIPC,BROOKFIELD INFRASTRUCTURE-A
CQP,CQP,CHENIERE ENERGY PARTNERS LP
ENLC,ENLC,ENLINK MIDSTREAM LLC
NWE,NWE,NORTHWESTERN CORP
DCP,DCP,DCP MIDSTREAM LP
SBS,SBS,CIA SANEAMENTO BASICO DE-ADR
AM,AM,ANTERO MIDSTREAM CORP
VTWR,VTWR.F,VANTAGE TOWERS AG
FHZN,FHZN.SW,FLUGHAFEN ZURICH AG-REG
IG,IG,ITALGAS SPA
SR,SR,SPIRE INC
ADP,ADP,ADP
NJR,NJR,NEW JERSEY RESOURCES CORP
OGS,OGS,ONE GAS INC
ASR,ASR,GRUPO AEROPORTUARIO SUR-ADR
WES,WES,WESTERN MIDSTREAM PARTNERS L
PAA,PAA,PLAINS ALL AMER PIPELINE LP
ALX,ALX,ATLAS ARTERIA
SWX,SWX,SOUTHWEST GAS HOLDINGS INC
PAC,PAC,GRUPO AEROPORTUARIO PAC-ADR
ENG,ENG,ENAGAS SA
KEY,KEY,KEYERA CORP
AIA,AIA,AUCKLAND INTL AIRPORT LTD
GET,GET,GETLINK SE
H,H,HYDRO ONE LTD
MMP,MMP,MAGELLAN MIDSTREAM PARTNERS
WTRG,WTRG,ESSENTIAL UTILITIES INC
REE,RED.MC,RED ELECTRICA CORPORACION SA
SVT,SVT,SEVERN TRENT PLC
BIP,BIP,BROOKFIELD INFRASTRUCTURE PA
APA,APA,APA GROUP
NI,NI,NISOURCE INC
MPLX,MPLX,MPLX LP
SRG,SRG,SNAM SPA
TRN,TRN,TERNA-RETE ELETTRICA NAZIONA
ATO,ATO,ATMOS ENERGY CORP
TRGP,TRGP,TARGA RESOURCES CORP
PCG,PCG,P G & E CORP
CNP,CNP,CENTERPOINT ENERGY INC
PPL,PPL,PEMBINA PIPELINE CORP
EIX,EIX,EDISON INTERNATIONAL
AWK,AWK,AMERICAN WATER WORKS CO INC
FTS,FTS,FORTIS INC
ET,ET,ENERGY TRANSFER LP
OKE,OKE,ONEOK INC
ES,ES,EVERSOURCE ENERGY
ED,ED,CONSOLIDATED EDISON INC
LNG,LNG,CHENIERE ENERGY INC
SBAC,SBAC,SBA COMMUNICATIONS CORP
KMI,KMI,KINDER MORGAN INC
EPD,EPD,ENTERPRISE PRODUCTS PARTNERS
WMB,WMB,WILLIAMS COS INC
SRE,SRE,SEMPRA ENERGY
DG,DG,VINCI SA
TRP,TRP,TC ENERGY CORP
CCI,CCI,CROWN CASTLE INTL CORP
ENB,ENB,ENBRIDGE INC
GEI,GBNXF,GIBSON ENERGY INC
AMT,AMT,AMERICAN TOWER CORP
