ticker,yahoo_ticker,name
KAP LI,KAP.IL,NAC Kazatomprom JSC
CCJ,CCJ,Cameco Corp.
U-U CN,U-U.TO,Sprott Physical Uranium Trust
PDN AU,PDN.AX,Paladin Energy Ltd.
UEC,UEC,Uranium Energy Corp.
YCA LN,YCA.L,Yellow Cake PLC
NXE,NXE,NexGen Energy Ltd.
DNN,DNN,Denison Mines Corp.
UUUU,UUUU,Energy Fuels Inc.
1164 HK,1164.HK,CGN Mining Co. Ltd.
BOE AU,BOE.AX,Boss Energy Ltd.
GLO CN,GLO.TO,Global Atomic Corp.
FCU CN,FCU.TO,Fission Uranium Corp.
EU CN,EU.V,Encore Energy Corp.
ISO CN,ISO.V,IsoEnergy Ltd.
URC CN,URC.V,Uranium Royalty Corp.
URG,URG,Ur-Energy Inc.
LOT AU,LOT.AX,Lotus Resources Ltd.
DYL AU,DYL.AX,Deep Yellow Ltd.
BMN AU,BMN.AX,Bannerman Energy Ltd.
BMNDA AU,BMN.AX,Bannerman Energy Ltd.
VMY AU,VMY.AX,Vimy Resources Ltd.
AGE AU,AGE.AX,Alligator Energy Ltd.
GXU CN,GXU.V,GoviEx Uranium Inc.
PEN AU,PEN.AX,Peninsula Energy Ltd.
BKY LN,BKY.MC,Berkeley Energia Ltd.
UEX CN,UEX.TO,UEX Corp.
EL8 AU,EL8.AX,Elevate Uranium Ltd.
CUR CN,CUR.V,Consolidated Uranium Inc.
FSY CN,FSY.TO,Forsys Metals Corp.
LAM CN,LAM.TO,Laramide Resources Ltd.
MGA CN,MGA.TO,Mega Uranium Ltd.
FIND CN,FIND.V,Baselode Energy Corp.
TOE AU,TOE.AX,Toro Energy Ltd.
API CN,API.CN,Appia Rare Earths & Uranium Corp.
CVV CN,CVV.V,CanAlaska Uranium Ltd.
SYH CN,SYH.V,Skyharbour Resources Ltd.
WUC CN,WUC.CN,Western Uranium & Vanadium Corp.
AEE AU,AEE.AX,Aura Energy Ltd
