ticker,yahoo_ticker,name
ISRG,ISRG,INTUITIVE SURGICAL INC
LITE,LITE,LUMENTUM HOLDINGS INC
WSM,WSM,WILLIAMS-SONOMA INC
TWTR,TWTR,TWITTER INC
MTTR,MTTR,MATTERPORT INC
API,API,AGORA INC-ADR
FUBO,FUBO,FUBOTV INC
IDCC,IDCC,INTERDIGITAL INC
RBLX,RBLX,ROBLOX CORP -CLASS A
AMBA,AMBA,AMBARELLA INC
SONY,SONY,SONY GROUP CORP - SP ADR
ZNGA,ZNGA,ZYNGA INC - CL A
EA,EA,ELECTRONIC ARTS INC
IMMR,IMMR,IMMERSION CORPORATION
SYNA,SYNA,SYNAPTICS INC
AMD,AMD,ADVANCED MICRO DEVICES
GLOB,GLOB,GLOBANT SA
KOPN,KOPN,KOPIN CORP
U,U,UNITY SOFTWARE INC
VRAR,VRAR,GLIMPSE GROUP INC/THE
EXPI,EXPI,EXP WORLD HOLDINGS INC
MVIS,MVIS,MICROVISION INC
PEN,PEN,PENUMBRA INC
TTWO,TTWO,TAKE-TWO INTERACTIVE SOFTWRE
STM,STM,STMICROELECTRONICS NV-NY SHS
NTES,NTES,NETEASE INC-ADR
QCOM,QCOM,QUALCOMM INC
WIMI,WIMI,WIMI HOLOGRAM CLOUD INC-ADR
ATVI,ATVI,ACTIVISION BLIZZARD INC
SNAP,SNAP,SNAP INC - A
VUZI,VUZI,VUZIX CORP
NVDA,NVDA,NVIDIA CORP
CEVA,CEVA,CEVA INC
AMZN,AMZN,AMAZON.COM INC
PTC,PTC,PTC INC
HIMX,HIMX,HIMAX TECHNOLOGIES INC-ADR
GOOGL,GOOGL,ALPHABET INC-CL A
MSFT,MSFT,MICROSOFT CORP
AAPL,AAPL,APPLE INC
FB,META,META PLATFORMS INC-CLASS A
META,META,META PLATFORMS INC-CLASS A
