Ticker,Yahoo,Name
WFHADBE,ADBE,Adobe Systems
WFHAPI,API,AGORA INC-ADR
WFHBABA,BABA,ALIBABA GROUP HLDG USD 0.000025 ADR
WFHGOOGL,GOOGL,Alphabet Inc
WFHAMZN,AMZN,Amazon Corp.
WFHAMX,AMX,AMERICA MOVIL - SERIES L
WFHTEAM,TEAM,TEAM
WFHAVYA,AVYA,Avaya Holdings Corp
WFHBOX,BOX,BOX INC USD 0.0001
WFHAVGO,AVGO,BROADCOM INC NPV
WFHCSCO,CSCO,CISCO SYS INC USD 0.001
WFHCRWD,CRWD,Crowdstrike Holdings Inc
WFHDOCU,DOCU,DocuSign Inc
WFHEGHT,EGHT,8X8 INC
WFHXELA,XELA,EXELA TECHNOLOGIES INC
WFHMETA,META,Meta Platforms Inc
WFHFTNT,FTNT,FORTINET I USD 0.001
WFHIBM,IBM,International Bus. Machines
WFHMRVL,MRVL,MARVELL TECHNOLOGY INC
WFHMSFT,MSFT,Microsoft Corp.
WFHNTAP,NTAP,NETAPP INC
WFHNTNX,NTNX,Nutanix Inc
WFHOKTA,OKTA,Okta Inc
WFHORCL,ORCL,Oracle Corp.
WFHPANW,PANW,PALO ALTO NETWORKS INC USD 0.0001
WFHPRGS,PRGS,Progress Software
WFHRXT,RXT,RACKSPACE TECHNOLOGY INC
WFHRNG,RNG,RINGCENTRAL INC USD 0.0001
WFHCRM,CRM,SALESFORCE COM INC USD 0.001
WFHS,S,SentinelOne Inc
WFHNOW,NOW,SERVICENOW INC USD 0.001
WFHSMAR,SMAR,Smartsheet Inc
WFHCXM,CXM,Sprinklr Inc
WFHTWLO,TWLO,Twilio Inc
WFHVMW,VMW,VMWARE INC
WFHWDAY,WDAY,WORKDAY INC-CLASS A
WFHZS,ZS,Zscaler Inc
WFHZM,ZM,Zoom Video Communications Inc
WFHCYBR,CYBR,CYBERARK SOFTWARE LTD ILS 0.01
